new_sequence,sequence,post_id,revised_title,slug,url,simple_mother,simple_mother_slug,simple_category,simple_category_slug
134,163,3307,دوران NISQ و محدودیت‌های رایانه‌های کوانتومی کنونی,nisq-era,https://qpedia.ir/nisq-era/,فناوری کوانتومی,quantum-technology,رایانش کوانتومی,quantum-computing
135,164,3319,روشن‌سازی کوانتومی؛ تشخیص هدف در محیط پرنویز,quantum-illumination,https://qpedia.ir/quantum-illumination/,جهان کوانتومی,quantum-world,نور کوانتومی,quantum-light
136,165,3321,لیدار کوانتومی چیست و چگونه فاصله را با فوتون‌ها اندازه می‌گیرد؟,quantum-lidar,https://qpedia.ir/quantum-lidar/,کوانتوم و زندگی,quantum-and-life,حسگرها و ابزارها,quantum-tools
137,171,3334,نور کند؛ کنترل سرعت گروهی بدون کندشدن ثابت بنیادی نور,slow-light,https://qpedia.ir/slow-light/,جهان کوانتومی,quantum-world,نور کوانتومی,quantum-light
138,172,3336,لیتوگرافی کوانتومی؛ الگودهی زیر حد رایلی و هزینهٔ واقعی آن,quantum-lithography,https://qpedia.ir/quantum-lithography/,جهان کوانتومی,quantum-world,نور کوانتومی,quantum-light
139,174,3340,انگشت‌نگاری کوانتومی؛ مقایسه داده با پیام بسیار کوتاه,quantum-fingerprinting,https://qpedia.ir/quantum-fingerprinting/,فناوری کوانتومی,quantum-technology,ارتباطات کوانتومی,quantum-communications
140,178,3348,یخچال رقیق‌سازی؛ چگونه به چند میلی‌کلوین می‌رسیم؟,dilution-refrigerator,https://qpedia.ir/dilution-refrigerator/,فناوری کوانتومی,quantum-technology,رایانش کوانتومی,quantum-computing
141,188,3369,اکسیون؛ ذره‌ای فرضی میان مسئلهٔ CP قوی و مادهٔ تاریک,axion,https://qpedia.ir/axion/,مبانی کوانتوم,quantum-foundations,ذرات و نیروها,particles-and-forces
142,189,3371,ویمپ؛ نامزد مشهور مادهٔ تاریک که هنوز پنهان مانده است,wimp,https://qpedia.ir/wimp/,مبانی کوانتوم,quantum-foundations,ذرات و نیروها,particles-and-forces
143,190,3373,انرژی تاریک و جهان کوانتومی؛ بحران کوچک‌ترین چگالی بزرگ فیزیک,dark-energy-quantum,https://qpedia.ir/dark-energy-quantum/,جهان کوانتومی,quantum-world,کیهان کوانتومی,quantum-universe
144,191,3375,تورم کیهانی؛ جهش آغازین فضا و بذر ساختارهای جهان,cosmic-inflation,https://qpedia.ir/cosmic-inflation/,جهان کوانتومی,quantum-world,کیهان کوانتومی,quantum-universe
145,192,3377,تابش زمینهٔ کیهانی؛ قدیمی‌ترین نوری که می‌توانیم ببینیم,cosmic-microwave-background,https://qpedia.ir/cosmic-microwave-background/,جهان کوانتومی,quantum-world,کیهان کوانتومی,quantum-universe
146,193,3379,کرم‌چاله؛ میان‌بُر فضا–زمان میان ریاضیات و واقعیت,wormhole,https://qpedia.ir/wormhole/,جهان کوانتومی,quantum-world,کیهان کوانتومی,quantum-universe
147,194,3381,کیهان‌شناسی کوانتومی؛ وقتی خود جهان موضوع نظریه کوانتومی می‌شود,quantum-cosmology,https://qpedia.ir/quantum-cosmology/,جهان کوانتومی,quantum-world,کیهان کوانتومی,quantum-universe
148,195,3383,جهش کوانتومی کیهان؛ آیا پیش از مهبانگ مرحله‌ای دیگر وجود داشت؟,quantum-bounce,https://qpedia.ir/quantum-bounce/,جهان کوانتومی,quantum-world,کیهان کوانتومی,quantum-universe
149,197,3387,موسیقی کوانتومی؛ از دادهٔ آزمایش تا صدا و آهنگ‌سازی,quantum-music,https://qpedia.ir/quantum-music/,کوانتوم و زندگی,quantum-and-life,تاریخ و جامعه,quantum-history-society
150,198,3389,داستان علمی‌تخیلی کوانتومی؛ روایت جهان‌های ممکن بدون تحریف علم,quantum-fiction,https://qpedia.ir/quantum-fiction/,کوانتوم و زندگی,quantum-and-life,تاریخ و جامعه,quantum-history-society
151,199,3391,فرهنگ کوانتومی؛ وقتی زبان فیزیک وارد جامعه می‌شود,quantum-culture,https://qpedia.ir/quantum-culture/,کوانتوم و زندگی,quantum-and-life,تاریخ و جامعه,quantum-history-society
152,200,3393,زمستان کوانتومی؛ اگر سرمایه و اعتماد از فناوری عقب‌نشینی کنند,quantum-winter,https://qpedia.ir/quantum-winter/,فناوری کوانتومی,quantum-technology,رایانش کوانتومی,quantum-computing
153,201,3395,تکینگی کوانتومی؛ مرز شکست نظریه یا جهش فرضی فناوری؟,quantum-singularity,https://qpedia.ir/quantum-singularity/,جهان کوانتومی,quantum-world,کیهان کوانتومی,quantum-universe
154,211,3416,کوانتوم در سرطان؛ از ابزار تشخیص تا ادعاهای درمانی,quantum-cancer,https://qpedia.ir/quantum-cancer/,کوانتوم و زندگی,quantum-and-life,زیست و پزشکی,quantum-biology-medicine
155,212,3418,کوانتوم در باکتری‌ها؛ از فتوسنتز تا حس‌کردن میدان,quantum-bacteria,https://qpedia.ir/quantum-bacteria/,کوانتوم و زندگی,quantum-and-life,زیست و پزشکی,quantum-biology-medicine
156,213,3420,کوانتوم در ویروس‌ها؛ علم مولکولی یا برچسبی گمراه‌کننده؟,quantum-viruses,https://qpedia.ir/quantum-viruses/,کوانتوم و زندگی,quantum-and-life,زیست و پزشکی,quantum-biology-medicine
157,220,3434,احتمال کوانتومی؛ چرا جمع دامنه‌ها با جمع احتمال‌ها فرق دارد؟,quantum-probability,https://qpedia.ir/quantum-probability/,مبانی کوانتوم,quantum-foundations,مفاهیم پایه,quantum-basics
158,221,3436,تابش شتاب و اثر اونرو؛ آیا ناظر شتاب‌دار خلأ را گرم می‌بیند؟,acceleration-radiation,https://qpedia.ir/acceleration-radiation/,جهان کوانتومی,quantum-world,کیهان کوانتومی,quantum-universe
159,224,3442,الکترودینامیک کوانتومی؛ نظریه‌ای که نور و بار را با دقت بی‌سابقه پیوند می‌دهد,quantum-electrodynamics,https://qpedia.ir/quantum-electrodynamics/,مبانی کوانتوم,quantum-foundations,ذرات و نیروها,particles-and-forces
160,238,3472,عایق توپولوژیک؛ درون عایق، روی سطح رسانا,topological-insulator,https://qpedia.ir/topological-insulator/,جهان کوانتومی,quantum-world,مواد کوانتومی,quantum-materials
161,252,3501,میکروسکوپ کوانتومی؛ دیدن نمونه با فوتون کمتر,quantum-microscopy,https://qpedia.ir/quantum-microscopy/,جهان کوانتومی,quantum-world,نور کوانتومی,quantum-light
162,262,3521,شبکهٔ کوانتومی؛ زیرساختی برای توزیع درهم‌تنیدگی,quantum-network,https://qpedia.ir/quantum-network/,فناوری کوانتومی,quantum-technology,ارتباطات کوانتومی,quantum-communications
163,263,3523,رایانش کوانتومی ابری؛ دسترسی از مرورگر به یک پردازنده واقعی,quantum-cloud,https://qpedia.ir/quantum-cloud/,فناوری کوانتومی,quantum-technology,رایانش کوانتومی,quantum-computing
164,281,559,آیا درهم تنیدگی یعنی اطلاعات سریع تر از نور منتقل می شود؟,entanglement-myths,https://qpedia.ir/entanglement-myths/,مبانی کوانتوم,quantum-foundations,مفاهیم پایه,quantum-basics
165,283,2086,نقشهٔ ذهنی پنج‌گانه برای فهم درست کوانتوم,quantum-fivefold-mental-map,https://qpedia.ir/quantum-fivefold-mental-map/,کوانتوم و زندگی,quantum-and-life,تاریخ و جامعه,quantum-history-society
166,284,2087,حسگرهای کوانتومی؛ آیندهٔ دقت اندازه‌گیری,quantum-sensors,https://qpedia.ir/quantum-sensors/,کوانتوم و زندگی,quantum-and-life,حسگرها و ابزارها,quantum-tools
167,285,2088,درهم‌تنیدگی در کامپیوترهای کوانتومی امروزی,entanglement-quantum-computers,https://qpedia.ir/entanglement-quantum-computers/,مبانی کوانتوم,quantum-foundations,مفاهیم پایه,quantum-basics
168,287,2093,منابع معتبر فارسی و انگلیسی برای یادگیری عمیق‌تر کوانتوم,quantum-learning-resources,https://qpedia.ir/quantum-learning-resources/,کوانتوم و زندگی,quantum-and-life,تاریخ و جامعه,quantum-history-society
169,289,2096,پنل خورشیدی و اثر فوتوالکتریک؛ تبدیل نور به جریان زندگی,solar-cells-photoelectric,https://qpedia.ir/solar-cells-photoelectric/,کوانتوم و زندگی,quantum-and-life,حسگرها و ابزارها,quantum-tools
170,290,2097,چرا ریاضیات کوانتوم درست است ولی فهمش سخت است؟,why-quantum-math-works,https://qpedia.ir/why-quantum-math-works/,کوانتوم و زندگی,quantum-and-life,تاریخ و جامعه,quantum-history-society
171,291,2098,کامپیوتر کوانتومی چیست و چقدر با واقعیت فاصله دارد؟,quantum-computer-reality,https://qpedia.ir/quantum-computer-reality/,فناوری کوانتومی,quantum-technology,رایانش کوانتومی,quantum-computing
172,292,2225,حالت کوانتومی چیست؟ چرا «الکترون کجاست؟» پرسش اشتباه است؟,quantum-state,https://qpedia.ir/quantum-state/,مبانی کوانتوم,quantum-foundations,مفاهیم پایه,quantum-basics
173,293,2229,کوارک چیست؟,quark,https://qpedia.ir/quark/,مبانی کوانتوم,quantum-foundations,ذرات و نیروها,particles-and-forces
174,294,2231,بوزون هیگز چیست؟,higgs-boson,https://qpedia.ir/higgs-boson/,مبانی کوانتوم,quantum-foundations,ذرات و نیروها,particles-and-forces
175,295,2232,پادماده چیست؟,antimatter,https://qpedia.ir/antimatter/,مبانی کوانتوم,quantum-foundations,ذرات و نیروها,particles-and-forces
176,301,2235,اسپین هسته‌ای چیست؟,nuclear-spin,https://qpedia.ir/nuclear-spin/,مبانی کوانتوم,quantum-foundations,مفاهیم پایه,quantum-basics
177,302,2240,همدوسی چیست؟,coherence,https://qpedia.ir/coherence/,مبانی کوانتوم,quantum-foundations,مفاهیم پایه,quantum-basics
178,303,2252,الگوریتم گروور چیست؟,grover-algorithm,https://qpedia.ir/grover-algorithm/,فناوری کوانتومی,quantum-technology,رایانش کوانتومی,quantum-computing
179,304,2253,تصحیح خطای کوانتومی چیست؟,quantum-error-correction,https://qpedia.ir/quantum-error-correction/,فناوری کوانتومی,quantum-technology,رایانش کوانتومی,quantum-computing
180,305,2254,چگالش بوز-اینشتین چیست؟,bose-einstein-condensate,https://qpedia.ir/bose-einstein-condensate/,جهان کوانتومی,quantum-world,مواد کوانتومی,quantum-materials
181,306,2255,همجوشی ستارگان چگونه ممکن است؟,stellar-fusion,https://qpedia.ir/stellar-fusion/,مبانی کوانتوم,quantum-foundations,ذرات و نیروها,particles-and-forces
182,307,2256,قضیهٔ عدم‌کپی چیست؟,no-cloning-theorem,https://qpedia.ir/no-cloning-theorem/,مبانی کوانتوم,quantum-foundations,مفاهیم پایه,quantum-basics
183,308,2257,گیت کوانتومی چیست؟,quantum-gate,https://qpedia.ir/quantum-gate/,فناوری کوانتومی,quantum-technology,رایانش کوانتومی,quantum-computing
184,309,2258,شبیه‌سازی کوانتومی چیست؟,quantum-simulation,https://qpedia.ir/quantum-simulation/,فناوری کوانتومی,quantum-technology,رایانش کوانتومی,quantum-computing
