sequence,post_id,status,title,slug,url,post_date,audit_status,revised_title,mother_category,main_category,subcategory,subcategory_slug,canonical_sequence,audit_note
73,2515,publish,نقطهٔ کوانتومی؛ کوانتومی که در تلویزیون شماست,quantum-dots-displays,https://qpedia.ir/quantum-dots-displays/,2026-09-06 00:53:19,حفظ,نقطهٔ کوانتومی؛ کوانتومی که در تلویزیون شماست,کوانتوم در علم، فناوری و جامعه,اندازه‌گیری، حسگرها و فناوری‌های کوانتومی,الکترونیک و فناوری‌های روزمره,quantum-electronics-everyday-technology,,
74,2516,publish,تراشهٔ ویلو؛ گوگل واقعاً چه چیزی را ثابت کرد؟,willow-chip,https://qpedia.ir/willow-chip/,2026-09-06 00:53:19,حفظ,تراشهٔ ویلو؛ گوگل واقعاً چه چیزی را ثابت کرد؟,اطلاعات و فناوری کوانتومی,رایانش کوانتومی,سخت‌افزار و معماری رایانه کوانتومی,quantum-computing-hardware,,
75,2520,publish,الان جمع کن، بعداً رمزگشایی کن؛ تهدیدی که فعال است,harvest-now-decrypt-later,https://qpedia.ir/harvest-now-decrypt-later/,2026-09-06 01:32:27,حفظ,الان جمع کن، بعداً رمزگشایی کن؛ تهدیدی که فعال است,اطلاعات و فناوری کوانتومی,ارتباطات، شبکه و امنیت کوانتومی,امنیت و رمزنگاری پساکوانتومی,post-quantum-security,,
76,2521,publish,آیا کامپیوتر کوانتومی بیت کوین را نابود می کند؟,bitcoin-quantum-threat,https://qpedia.ir/bitcoin-quantum-threat/,2026-09-06 01:32:27,حفظ,آیا کامپیوتر کوانتومی بیت کوین را نابود می کند؟,اطلاعات و فناوری کوانتومی,ارتباطات، شبکه و امنیت کوانتومی,امنیت و رمزنگاری پساکوانتومی,post-quantum-security,,
77,2522,publish,پاک کن کوانتومی؛ آیا آینده بر گذشته اثر می گذارد؟,quantum-eraser,https://qpedia.ir/quantum-eraser/,2026-09-06 01:32:27,حفظ,پاک کن کوانتومی؛ آیا آینده بر گذشته اثر می گذارد؟,کوانتوم در علم، فناوری و جامعه,تاریخ، آموزش و جامعه کوانتومی,آزمایش‌ها و رویدادهای تاریخی,quantum-historical-experiments-events,,
78,2523,publish,پایان قانون مور؛ چرا ترانزیستورها به دیوار خوردند؟,moore-law-quantum-limit,https://qpedia.ir/moore-law-quantum-limit/,2026-09-06 01:32:27,حفظ,پایان قانون مور؛ چرا ترانزیستورها به دیوار خوردند؟,کوانتوم در علم، فناوری و جامعه,تاریخ، آموزش و جامعه کوانتومی,فرهنگ، رسانه، صنعت و آینده کوانتوم,quantum-culture-media-industry-future,,
79,2524,publish,صد سالگی کوانتوم؛ از جزیرهٔ هلگولاند تا امروز,quantum-century-2025,https://qpedia.ir/quantum-century-2025/,2026-09-06 01:32:27,حفظ,صد سالگی کوانتوم؛ از جزیرهٔ هلگولاند تا امروز,کوانتوم در علم، فناوری و جامعه,تاریخ، آموزش و جامعه کوانتومی,آزمایش‌ها و رویدادهای تاریخی,quantum-historical-experiments-events,,
80,2527,publish,عدد تصادفی کوانتومی؛ تنها تصادف واقعی جهان,quantum-random-number-generator,https://qpedia.ir/quantum-random-number-generator/,2026-09-06 02:34:03,اصلاح عنوان,مولد عدد تصادفی کوانتومی؛ آیا تصادف بنیادی قابل استفاده است؟,دانش بنیادی کوانتوم,مبانی فیزیک کوانتومی,اندازه‌گیری، احتمال و عدم‌قطعیت,measurement-probability-uncertainty,,اصلاح علمی عنوان؛ موضوع مقاله حفظ می‌شود.
81,2528,publish,ابررسانای دمای اتاق؛ درس LK-99 دربارهٔ هیجان علمی,room-temperature-superconductor,https://qpedia.ir/room-temperature-superconductor/,2026-09-06 02:34:03,حفظ,ابررسانای دمای اتاق؛ درس LK-99 دربارهٔ هیجان علمی,جهان کوانتومی و ساختار ماده,ماده چگال و مواد کوانتومی,ابررسانایی و پیوند جوزفسون,superconductivity-josephson,,
82,2529,publish,انرژی نقطهٔ صفر و افسانهٔ انرژی رایگان,zero-point-energy-scam,https://qpedia.ir/zero-point-energy-scam/,2026-09-06 02:34:03,حفظ,انرژی نقطهٔ صفر و افسانهٔ انرژی رایگان,کوانتوم در علم، فناوری و جامعه,تاریخ، آموزش و جامعه کوانتومی,سواد علمی و تشخیص شبه‌علم,scientific-literacy-pseudoscience,,
83,2530,publish,حباب هیجان کوانتومی؛ چقدرش واقعی است؟,quantum-hype-bubble,https://qpedia.ir/quantum-hype-bubble/,2026-09-06 02:34:03,حفظ,حباب هیجان کوانتومی؛ چقدرش واقعی است؟,کوانتوم در علم، فناوری و جامعه,تاریخ، آموزش و جامعه کوانتومی,سواد علمی و تشخیص شبه‌علم,scientific-literacy-pseudoscience,,
84,2531,publish,آنیلینگ کوانتومی؛ چرا هزار کیوبیت یعنی هزار کیوبیت نیست,quantum-annealing-dwave,https://qpedia.ir/quantum-annealing-dwave/,2026-09-06 02:34:03,حفظ,آنیلینگ کوانتومی؛ چرا هزار کیوبیت یعنی هزار کیوبیت نیست,اطلاعات و فناوری کوانتومی,رایانش کوانتومی,سخت‌افزار و معماری رایانه کوانتومی,quantum-computing-hardware,,
85,2533,publish,پیوند جوزفسون؛ قلب تپندهٔ کامپیوتر کوانتومی,josephson-junction,https://qpedia.ir/josephson-junction/,2026-09-06 02:45:33,حفظ,پیوند جوزفسون؛ قلب تپندهٔ کامپیوتر کوانتومی,جهان کوانتومی و ساختار ماده,ماده چگال و مواد کوانتومی,ابررسانایی و پیوند جوزفسون,superconductivity-josephson,,
86,2534,publish,ناوبری کوانتومی؛ مسیریابی بدون ماهواره,quantum-navigation,https://qpedia.ir/quantum-navigation/,2026-09-06 02:45:33,حفظ,ناوبری کوانتومی؛ مسیریابی بدون ماهواره,کوانتوم در علم، فناوری و جامعه,اندازه‌گیری، حسگرها و فناوری‌های کوانتومی,زمان‌سنجی، ساعت اتمی و ناوبری,atomic-clocks-navigation,,
87,2535,publish,پارادوکس دوست ویگنر؛ آیا واقعیت برای همه یکی است؟,wigner-friend,https://qpedia.ir/wigner-friend/,2026-09-06 02:45:33,حفظ,پارادوکس دوست ویگنر؛ آیا واقعیت برای همه یکی است؟,دانش بنیادی کوانتوم,تفسیرها، فلسفه و مرزهای واقعیت,پارادوکس‌ها و آزمایش‌های فکری,quantum-paradoxes-thought-experiments,,
88,2536,publish,جاودانگی کوانتومی؛ کجای این استدلال می لنگد؟,quantum-immortality,https://qpedia.ir/quantum-immortality/,2026-09-06 02:45:33,حفظ,جاودانگی کوانتومی؛ کجای این استدلال می لنگد؟,دانش بنیادی کوانتوم,تفسیرها، فلسفه و مرزهای واقعیت,زمان، اختیار و آگاهی,time-free-will-consciousness,,
89,2537,publish,آیا جهان یک شبیه سازی است؟ نقد سه استدلال کوانتومی,simulation-hypothesis-quantum,https://qpedia.ir/simulation-hypothesis-quantum/,2026-09-06 02:45:33,حفظ,آیا جهان یک شبیه سازی است؟ نقد سه استدلال کوانتومی,دانش بنیادی کوانتوم,تفسیرها، فلسفه و مرزهای واقعیت,چندجهانی و فرضیه‌های واقعیت,multiverse-reality-hypotheses,,
90,2741,publish,گلوئون و بوزون W و Z؛ چسب هسته و واپاشی,gluon-w-z-bosons,https://qpedia.ir/gluon-w-z-bosons/,2026-09-09 16:00:31,حفظ,گلوئون و بوزون W و Z؛ چسب هسته و واپاشی,دانش بنیادی کوانتوم,ذرات، میدان‌ها و فیزیک هسته‌ای,ذرات بنیادی و مدل استاندارد,elementary-particles-standard-model,,
91,2742,publish,میون و تاو؛ پسرعموهای سنگین الکترون,muon-and-tau,https://qpedia.ir/muon-and-tau/,2026-09-10 07:28:40,حفظ,میون و تاو؛ پسرعموهای سنگین الکترون,دانش بنیادی کوانتوم,ذرات، میدان‌ها و فیزیک هسته‌ای,ذرات بنیادی و مدل استاندارد,elementary-particles-standard-model,,
92,2744,publish,تونل زنی در میتوکندری؛ الکترون یا پروتون؟,mitochondria-proton-tunneling,https://qpedia.ir/mitochondria-proton-tunneling/,2026-09-14 20:00:35,حفظ,تونل زنی در میتوکندری؛ الکترون یا پروتون؟,کوانتوم در علم، فناوری و جامعه,شیمی، زیست‌شناسی و پزشکی کوانتومی,زیست‌شناسی کوانتومی,quantum-biology,,
93,2745,publish,حافظه بلندمدت مغز کوانتومی است؟,quantum-long-term-memory,https://qpedia.ir/quantum-long-term-memory/,2026-09-09 09:53:07,حفظ,حافظه بلندمدت مغز کوانتومی است؟,کوانتوم در علم، فناوری و جامعه,شیمی، زیست‌شناسی و پزشکی کوانتومی,مغز، آگاهی و علوم اعصاب,quantum-brain-neuroscience,,
94,2746,publish,آنزیم های ترمیم DNA؛ جهش آخر خط نیست,dna-repair-enzymes,https://qpedia.ir/dna-repair-enzymes/,2026-09-14 20:00:35,حفظ,آنزیم های ترمیم DNA؛ جهش آخر خط نیست,کوانتوم در علم، فناوری و جامعه,شیمی، زیست‌شناسی و پزشکی کوانتومی,زیست‌شناسی کوانتومی,quantum-biology,,
95,2747,publish,نوبل فیزیک ۲۰۱۲؛ یک ذره را گرفتند و نکشتند,nobel-physics-2012,https://qpedia.ir/nobel-physics-2012/,2026-09-14 20:00:35,حفظ,نوبل فیزیک ۲۰۱۲؛ یک ذره را گرفتند و نکشتند,کوانتوم در علم، فناوری و جامعه,تاریخ، آموزش و جامعه کوانتومی,دانشمندان، زندگی‌نامه‌ها و جایزه‌ها,quantum-scientists-biographies-awards,,
96,2748,publish,نوبل فیزیک ۲۰۲۲؛ درهم تنیدگی دیگر فلسفه نیست,nobel-physics-2022,https://qpedia.ir/nobel-physics-2022/,2026-09-14 20:00:35,حفظ,نوبل فیزیک ۲۰۲۲؛ درهم تنیدگی دیگر فلسفه نیست,کوانتوم در علم، فناوری و جامعه,تاریخ، آموزش و جامعه کوانتومی,دانشمندان، زندگی‌نامه‌ها و جایزه‌ها,quantum-scientists-biographies-awards,,
97,2749,publish,آزمایش بل بدون حفره ۲۰۱۵ چه بود؟,loophole-free-bell-test,https://qpedia.ir/loophole-free-bell-test/,2026-09-14 20:00:35,حفظ,آزمایش بل بدون حفره ۲۰۱۵ چه بود؟,کوانتوم در علم، فناوری و جامعه,تاریخ، آموزش و جامعه کوانتومی,آزمایش‌ها و رویدادهای تاریخی,quantum-historical-experiments-events,,
98,2750,publish,انتخاب تأخیری ویلر؛ فوتون از قبل تصمیم نگرفته,wheeler-delayed-choice,https://qpedia.ir/wheeler-delayed-choice/,2026-09-14 20:00:35,حفظ,انتخاب تأخیری ویلر؛ فوتون از قبل تصمیم نگرفته,کوانتوم در علم، فناوری و جامعه,تاریخ، آموزش و جامعه کوانتومی,آزمایش‌ها و رویدادهای تاریخی,quantum-historical-experiments-events,,
99,2752,publish,سه جور کیوبیت؛ ابررسانا، یون و فوتون,qubit-types-compared,https://qpedia.ir/qubit-types-compared/,2026-09-14 20:00:35,اصلاح عنوان,سه گونه کیوبیت؛ ابررسانا، یون به‌دام‌افتاده و فوتون,اطلاعات و فناوری کوانتومی,رایانش کوانتومی,کیوبیت، گیت و مدار کوانتومی,qubits-gates-circuits,,اصلاح علمی عنوان؛ موضوع مقاله حفظ می‌شود.
100,2753,publish,ریپیتر کوانتومی؛ چاپارخانهٔ درهم تنیدگی,quantum-repeater,https://qpedia.ir/quantum-repeater/,2026-09-14 20:00:35,حفظ,ریپیتر کوانتومی؛ چاپارخانهٔ درهم تنیدگی,اطلاعات و فناوری کوانتومی,ارتباطات، شبکه و امنیت کوانتومی,شبکه، ریپیتر و اینترنت کوانتومی,quantum-networks-repeaters-internet,,
101,2754,publish,پروتکل BB84؛ قفل با فوتون نه با عدد سخت,bb84-protocol,https://qpedia.ir/bb84-protocol/,2026-09-14 20:00:35,حفظ,پروتکل BB84؛ قفل با فوتون نه با عدد سخت,اطلاعات و فناوری کوانتومی,ارتباطات، شبکه و امنیت کوانتومی,رمزنگاری و توزیع کلید کوانتومی,quantum-cryptography-qkd,,
102,2755,publish,محاسبه با اندازه گیری؛ کامپیوتر یک طرفه,measurement-based-quantum-computing,https://qpedia.ir/measurement-based-quantum-computing/,2026-09-14 20:00:35,حفظ,محاسبه با اندازه گیری؛ کامپیوتر یک طرفه,اطلاعات و فناوری کوانتومی,رایانش کوانتومی,کیوبیت، گیت و مدار کوانتومی,qubits-gates-circuits,,
103,2756,publish,الگوریتم HHL؛ حل معادله با قید ریز چاپ,hhl-algorithm,https://qpedia.ir/hhl-algorithm/,2026-09-14 20:00:35,حفظ,الگوریتم HHL؛ حل معادله با قید ریز چاپ,اطلاعات و فناوری کوانتومی,رایانش کوانتومی,الگوریتم‌های کوانتومی,quantum-algorithms,,
104,2757,publish,اثر آهارونوف-بوهم؛ فاز بدون میدان محلی,aharonov-bohm-effect,https://qpedia.ir/aharonov-bohm-effect/,2026-09-14 20:00:35,حفظ,اثر آهارونوف-بوهم؛ فاز بدون میدان محلی,دانش بنیادی کوانتوم,مبانی فیزیک کوانتومی,اثرها و پدیده‌های کوانتومی,quantum-effects-phenomena,,
105,2758,publish,شکاف لمب؛ دو تراز که نباید جدا می شدند,lamb-shift,https://qpedia.ir/lamb-shift/,2026-09-14 20:00:35,حفظ,شکاف لمب؛ دو تراز که نباید جدا می شدند,دانش بنیادی کوانتوم,مبانی فیزیک کوانتومی,اثرها و پدیده‌های کوانتومی,quantum-effects-phenomena,,
106,2759,publish,ابررسانایی توپولوژیک؛ زوج با گره در لبه,topological-superconductivity,https://qpedia.ir/topological-superconductivity/,2026-09-14 20:00:35,حفظ,ابررسانایی توپولوژیک؛ زوج با گره در لبه,جهان کوانتومی و ساختار ماده,ماده چگال و مواد کوانتومی,ابررسانایی و پیوند جوزفسون,superconductivity-josephson,,
107,2761,publish,تفسیر تراکنشی,transactional-interpretation,https://qpedia.ir/transactional-interpretation/,2026-09-14 20:00:35,حفظ,تفسیر تراکنشی,دانش بنیادی کوانتوم,تفسیرها، فلسفه و مرزهای واقعیت,تفسیرهای مکانیک کوانتومی,quantum-interpretations,,
108,2762,publish,کیوبیسم؛ احتمال مال شماست نه مال جهان,qbism,https://qpedia.ir/qbism/,2026-09-14 20:00:35,حفظ,کیوبیسم؛ احتمال مال شماست نه مال جهان,دانش بنیادی کوانتوم,تفسیرها، فلسفه و مرزهای واقعیت,تفسیرهای مکانیک کوانتومی,quantum-interpretations,,
109,2763,publish,فروپاشی عینی؛ گربه بدون ناظر می میرد,objective-collapse,https://qpedia.ir/objective-collapse/,2026-09-14 20:00:35,حفظ,فروپاشی عینی؛ گربه بدون ناظر می میرد,دانش بنیادی کوانتوم,تفسیرها، فلسفه و مرزهای واقعیت,تفسیرهای مکانیک کوانتومی,quantum-interpretations,,
110,2764,publish,کریستال درمانی؛ سنگ شفا نمی دهد,crystal-healing-debunked,https://qpedia.ir/crystal-healing-debunked/,2026-09-14 20:00:35,حفظ,کریستال درمانی؛ سنگ شفا نمی دهد,کوانتوم در علم، فناوری و جامعه,شیمی، زیست‌شناسی و پزشکی کوانتومی,ادعاهای درمانی و شبه‌علم پزشکی,quantum-medical-pseudoscience,,
111,2765,publish,هوش مصنوعی کوانتومی؛ بیشترش برچسب است,quantum-ai-marketing-hype,https://qpedia.ir/quantum-ai-marketing-hype/,2026-09-14 20:00:35,حفظ,هوش مصنوعی کوانتومی؛ بیشترش برچسب است,اطلاعات و فناوری کوانتومی,هوش مصنوعی و یادگیری ماشین کوانتومی,کاربردها، محدودیت‌ها و ادعاهای هوش مصنوعی,quantum-ai-applications-limitations-claims,,
112,2832,publish,هایزنبرگ؛ نابغه ای که جنگ او را به دو نیم کرد,heisenberg-ww2,https://qpedia.ir/heisenberg-ww2/,2026-09-15 05:32:33,حفظ,هایزنبرگ؛ نابغه ای که جنگ او را به دو نیم کرد,کوانتوم در علم، فناوری و جامعه,تاریخ، آموزش و جامعه کوانتومی,دانشمندان، زندگی‌نامه‌ها و جایزه‌ها,quantum-scientists-biographies-awards,,
113,2835,publish,ماکس بورن و تفسیر احتمالاتی؛ مربع تابع موج چه می گوید؟,born-probability,https://qpedia.ir/born-probability/,2026-09-15 05:33:29,حفظ,ماکس بورن و تفسیر احتمالاتی؛ مربع تابع موج چه می گوید؟,دانش بنیادی کوانتوم,مبانی فیزیک کوانتومی,حالت کوانتومی و تابع موج,quantum-states-wave-function,,
114,2838,publish,پاولی و اصل طرد؛ چرا دو الکترون مثل هم در یک «اتاق» نمی مانند؟,pauli-exclusion,https://qpedia.ir/pauli-exclusion/,2026-09-15 05:32:02,حذف/ادغام,پاولی و اصل طرد؛ چرا دو الکترون مثل هم در یک «اتاق» نمی مانند؟,,,,,126,موضوع و دامنه با «اصل طرد پاولی دقیقاً چه می‌گوید؟» یکسان است.
115,2841,publish,اینشتین و شرودینگر؛ دو دوست که با کوانتوم در افتادند,einstein-schrodinger-reality,https://qpedia.ir/einstein-schrodinger-reality/,2026-09-15 05:32:59,حفظ,اینشتین و شرودینگر؛ دو دوست که با کوانتوم در افتادند,دانش بنیادی کوانتوم,تفسیرها، فلسفه و مرزهای واقعیت,واقعیت، علیت و مسئله ناظر,reality-causality-observer,,
116,2844,publish,تفسیر GRW یا فروپاشی خودبه خودی,grw-collapse,https://qpedia.ir/grw-collapse/,2026-09-15 05:30:35,حفظ,تفسیر GRW یا فروپاشی خودبه خودی,دانش بنیادی کوانتوم,تفسیرها، فلسفه و مرزهای واقعیت,تفسیرهای مکانیک کوانتومی,quantum-interpretations,,
117,2851,publish,رئالیسم کوانتومی,quantum-realism,https://qpedia.ir/quantum-realism/,2026-09-15 05:40:06,حفظ,رئالیسم کوانتومی,دانش بنیادی کوانتوم,تفسیرها، فلسفه و مرزهای واقعیت,تفسیرهای مکانیک کوانتومی,quantum-interpretations,,
118,2859,publish,تاریخ صد ساله فیزیک کوانتوم,quantum-history,https://qpedia.ir/quantum-history/,2026-09-15 05:34:36,حفظ,تاریخ صد ساله فیزیک کوانتوم,کوانتوم در علم، فناوری و جامعه,تاریخ، آموزش و جامعه کوانتومی,آزمایش‌ها و رویدادهای تاریخی,quantum-historical-experiments-events,,
119,2862,publish,حافظه کوانتومی,quantum-memory,https://qpedia.ir/quantum-memory/,2026-09-15 05:37:24,حفظ,حافظه کوانتومی,اطلاعات و فناوری کوانتومی,ارتباطات، شبکه و امنیت کوانتومی,شبکه، ریپیتر و اینترنت کوانتومی,quantum-networks-repeaters-internet,,
120,2866,publish,مایکروسافت و کیوبیت های توپولوژیک مایورانا,majorana-topological,https://qpedia.ir/majorana-topological/,2026-09-15 05:39:06,حفظ,مایکروسافت و کیوبیت های توپولوژیک مایورانا,اطلاعات و فناوری کوانتومی,رایانش کوانتومی,سخت‌افزار و معماری رایانه کوانتومی,quantum-computing-hardware,,
121,301,publish,گربهٔ شرودینگر,schrodinger-cat,https://qpedia.ir/schrodinger-cat/,2026-08-23 00:29:03,اصلاح عنوان,گربه شرودینگر؛ آزمایش فکری درباره اندازه‌گیری کوانتومی,دانش بنیادی کوانتوم,تفسیرها، فلسفه و مرزهای واقعیت,پارادوکس‌ها و آزمایش‌های فکری,quantum-paradoxes-thought-experiments,,اصلاح علمی عنوان؛ موضوع مقاله حفظ می‌شود.
122,318,publish,قطب‌نمای پرندگان,bird-quantum-compass,https://qpedia.ir/bird-quantum-compass/,2026-09-03 03:18:13,حفظ,قطب‌نمای پرندگان,کوانتوم در علم، فناوری و جامعه,شیمی، زیست‌شناسی و پزشکی کوانتومی,زیست‌شناسی کوانتومی,quantum-biology,,
123,319,publish,حس بویایی؛ شکل یا ارتعاش؟,quantum-smell,https://qpedia.ir/quantum-smell/,2026-09-03 03:19:19,حفظ,حس بویایی؛ شکل یا ارتعاش؟,کوانتوم در علم، فناوری و جامعه,شیمی، زیست‌شناسی و پزشکی کوانتومی,زیست‌شناسی کوانتومی,quantum-biology,,
124,504,publish,فوتون دقیقا چیست ؟,photon,https://qpedia.ir/photon/,2026-09-03 03:16:46,حفظ,فوتون دقیقا چیست ؟,دانش بنیادی کوانتوم,ذرات، میدان‌ها و فیزیک هسته‌ای,ذرات بنیادی و مدل استاندارد,elementary-particles-standard-model,,
125,505,publish,الکترون چیست؟ ویژگی‌ها، نقش در اتم و برق,electron,https://qpedia.ir/electron/,2026-09-03 03:16:13,حفظ,الکترون چیست؟ ویژگی‌ها، نقش در اتم و برق,دانش بنیادی کوانتوم,ذرات، میدان‌ها و فیزیک هسته‌ای,ذرات بنیادی و مدل استاندارد,elementary-particles-standard-model,,
126,509,publish,اصل طرد پاولی دقیقاً چه می‌گوید؟ به زبان ساده,pauli-exclusion-principle,https://qpedia.ir/pauli-exclusion-principle/,2026-09-03 03:15:23,حفظ,اصل طرد پاولی دقیقاً چه می‌گوید؟ به زبان ساده,دانش بنیادی کوانتوم,مبانی فیزیک کوانتومی,مفاهیم و کمیت‌های پایه,basic-quantum-concepts,,
127,512,publish,رمزنگاری کوانتومی و آیندهٔ امنیت اینترنت,quantum-cryptography-internet-security,https://qpedia.ir/quantum-cryptography-internet-security/,2026-09-03 03:11:54,حفظ,رمزنگاری کوانتومی و آیندهٔ امنیت اینترنت,اطلاعات و فناوری کوانتومی,ارتباطات، شبکه و امنیت کوانتومی,رمزنگاری و توزیع کلید کوانتومی,quantum-cryptography-qkd,,
128,551,publish,آیا با فکر کردن می توان واقعیت کوانتومی را تغییر داد؟,mind-quantum-reality,https://qpedia.ir/mind-quantum-reality/,2026-09-03 03:08:45,حفظ,آیا با فکر کردن می توان واقعیت کوانتومی را تغییر داد؟,کوانتوم در علم، فناوری و جامعه,تاریخ، آموزش و جامعه کوانتومی,سواد علمی و تشخیص شبه‌علم,scientific-literacy-pseudoscience,,
129,553,publish,آزمایش های بل: چگونه درهم تنیدگی اثبات شد!,bell-experiments,https://qpedia.ir/bell-experiments/,2026-09-03 03:05:05,اصلاح عنوان,آزمایش‌های بل؛ شواهد تجربی علیه واقع‌گرایی موضعی,کوانتوم در علم، فناوری و جامعه,تاریخ، آموزش و جامعه کوانتومی,آزمایش‌ها و رویدادهای تاریخی,quantum-historical-experiments-events,,اصلاح علمی عنوان؛ موضوع مقاله حفظ می‌شود.
130,560,publish,آیا فیزیک کلاسیک اشتباه بود؟ نه، محدود بود,is-classical-physics-wrong,https://qpedia.ir/is-classical-physics-wrong/,2026-09-03 02:46:34,حفظ,آیا فیزیک کلاسیک اشتباه بود؟ نه، محدود بود,دانش بنیادی کوانتوم,مبانی فیزیک کوانتومی,مفاهیم و کمیت‌های پایه,basic-quantum-concepts,,
131,561,publish,آیا فیزیک دانان بر سر معنای اندازه گیری توافق دارند؟,quantum-interpretation-debate,https://qpedia.ir/quantum-interpretation-debate/,2026-09-03 02:45:45,حفظ,آیا فیزیک دانان بر سر معنای اندازه گیری توافق دارند؟,دانش بنیادی کوانتوم,تفسیرها، فلسفه و مرزهای واقعیت,تفسیرهای مکانیک کوانتومی,quantum-interpretations,,
132,563,publish,آیا هوش مصنوعی از کوانتوم استفاده می کند؟,does-ai-use-quantum,https://qpedia.ir/does-ai-use-quantum/,2026-09-03 02:50:33,حفظ,آیا هوش مصنوعی از کوانتوم استفاده می کند؟,اطلاعات و فناوری کوانتومی,هوش مصنوعی و یادگیری ماشین کوانتومی,کاربردها، محدودیت‌ها و ادعاهای هوش مصنوعی,quantum-ai-applications-limitations-claims,,
133,565,publish,آیا کوانتوم یعنی چندجهانی واقعی است؟,is-many-worlds-real,https://qpedia.ir/is-many-worlds-real/,2026-09-03 02:52:30,حفظ,آیا کوانتوم یعنی چندجهانی واقعی است؟,دانش بنیادی کوانتوم,تفسیرها، فلسفه و مرزهای واقعیت,واقعیت، علیت و مسئله ناظر,reality-causality-observer,,
134,566,publish,آینده شغلی: آیا باید فیزیک کوانتوم یاد بگیریم؟,quantum-career-future-learn,https://qpedia.ir/quantum-career-future-learn/,2026-09-01 09:01:13,حفظ,آینده شغلی: آیا باید فیزیک کوانتوم یاد بگیریم؟,کوانتوم در علم، فناوری و جامعه,تاریخ، آموزش و جامعه کوانتومی,آموزش، منابع و مسیر یادگیری,quantum-learning-resources,,
135,567,publish,اصل عدم قطعیت هایزنبرگ به زبان ساده,heisenberg-uncertainty-principle,https://qpedia.ir/heisenberg-uncertainty-principle/,2026-09-01 09:01:13,حفظ,اصل عدم قطعیت هایزنبرگ به زبان ساده,دانش بنیادی کوانتوم,مبانی فیزیک کوانتومی,مفاهیم و کمیت‌های پایه,basic-quantum-concepts,,
136,569,publish,برهم نهی چیست؟ وقتی یک ذره «هم این است هم آن»,superposition-explained,https://qpedia.ir/superposition-explained/,2026-09-03 03:01:36,حذف/ادغام,برهم نهی چیست؟ وقتی یک ذره «هم این است هم آن»,,,,,2,موضوع و دامنه با مقاله «برهم‌نهی کوانتومی» یکسان است.
137,570,publish,برهم نهی یعنی چه، و چرا اشیای بزرگ برهم نهی نمی شوند,why-large-objects-dont-superpose,https://qpedia.ir/why-large-objects-dont-superpose/,2026-09-03 02:48:36,حفظ,برهم نهی یعنی چه، و چرا اشیای بزرگ برهم نهی نمی شوند,دانش بنیادی کوانتوم,مبانی فیزیک کوانتومی,برهم‌نهی، درهم‌تنیدگی و همدوسی,superposition-entanglement-coherence,,
138,571,publish,تفاوت جبرگرایی کلاسیک و احتمال کوانتومی,determinism-vs-probability,https://qpedia.ir/determinism-vs-probability/,2026-09-03 02:58:03,حفظ,تفاوت جبرگرایی کلاسیک و احتمال کوانتومی,دانش بنیادی کوانتوم,مبانی فیزیک کوانتومی,مفاهیم و کمیت‌های پایه,basic-quantum-concepts,,
139,2873,publish,نیلز بور و اصل تکمیل؛ چرا یک چیز هم موج است هم ذره؟,bohr-complementarity,https://qpedia.ir/bohr-complementarity/,2026-09-15 05:27:49,حفظ,نیلز بور و اصل تکمیل؛ چرا یک چیز هم موج است هم ذره؟,دانش بنیادی کوانتوم,مبانی فیزیک کوانتومی,مفاهیم و کمیت‌های پایه,basic-quantum-concepts,,
140,3569,publish,قضیهٔ نوسان کوانتومی؛ قانون دوم در مقیاس تک‌رویداد,quantum-fluctuation-theorem,https://qpedia.ir/quantum-fluctuation-theorem/,2026-09-21 04:51:54,حفظ,قضیهٔ نوسان کوانتومی؛ قانون دوم در مقیاس تک‌رویداد,دانش بنیادی کوانتوم,مبانی فیزیک کوانتومی,اثرها و پدیده‌های کوانتومی,quantum-effects-phenomena,,
141,572,publish,تفاوت فیزیک کوانتوم و مکانیک کوانتومی چیست؟,quantum-physics-vs-quantum-mechanics,https://qpedia.ir/quantum-physics-vs-quantum-mechanics/,2026-09-01 09:01:13,حفظ,تفاوت فیزیک کوانتوم و مکانیک کوانتومی چیست؟,دانش بنیادی کوانتوم,مبانی فیزیک کوانتومی,مفاهیم و کمیت‌های پایه,basic-quantum-concepts,,
142,573,publish,تمثیل تاس در مقابل تمثیل سکه: کدام برای عدم قطعیت بهتر است؟,coin-vs-dice-quantum-uncertainty,https://qpedia.ir/coin-vs-dice-quantum-uncertainty/,2026-09-01 09:01:13,حفظ,تمثیل تاس در مقابل تمثیل سکه: کدام برای عدم قطعیت بهتر است؟,دانش بنیادی کوانتوم,مبانی فیزیک کوانتومی,اندازه‌گیری، احتمال و عدم‌قطعیت,measurement-probability-uncertainty,,
143,574,publish,تمرین ذهنی: خودتان یک تمثیل بسازید و مرزش را پیدا کنید,quantum-analogy-exercise-boundary,https://qpedia.ir/quantum-analogy-exercise-boundary/,2026-09-01 09:01:13,حفظ,تمرین ذهنی: خودتان یک تمثیل بسازید و مرزش را پیدا کنید,کوانتوم در علم، فناوری و جامعه,تاریخ، آموزش و جامعه کوانتومی,آموزش، منابع و مسیر یادگیری,quantum-learning-resources,,
