new_sequence,sequence,post_id,revised_title,slug,url,mother_category,main_category,public_subcategory,public_subcategory_slug
98,124,504,فوتون دقیقا چیست ؟,photon,https://qpedia.ir/photon/,دانش بنیادی کوانتوم,ذرات، میدان‌ها و فیزیک هسته‌ای,ذرات، میدان‌ها، هسته و نیروها,particles-fields-nuclei-forces
99,125,505,الکترون چیست؟ ویژگی‌ها، نقش در اتم و برق,electron,https://qpedia.ir/electron/,دانش بنیادی کوانتوم,ذرات، میدان‌ها و فیزیک هسته‌ای,ذرات، میدان‌ها، هسته و نیروها,particles-fields-nuclei-forces
100,126,509,اصل طرد پاولی دقیقاً چه می‌گوید؟ به زبان ساده,pauli-exclusion-principle,https://qpedia.ir/pauli-exclusion-principle/,دانش بنیادی کوانتوم,مبانی فیزیک کوانتومی,حالت، تابع موج و مفاهیم پایه,quantum-state-wave-function-basics
101,127,512,رمزنگاری کوانتومی و آیندهٔ امنیت اینترنت,quantum-cryptography-internet-security,https://qpedia.ir/quantum-cryptography-internet-security/,اطلاعات و فناوری کوانتومی,ارتباطات، شبکه و امنیت کوانتومی,رمزنگاری و امنیت در عصر کوانتوم,quantum-cryptography-security
102,128,551,آیا با فکر کردن می توان واقعیت کوانتومی را تغییر داد؟,mind-quantum-reality,https://qpedia.ir/mind-quantum-reality/,کوانتوم در علم، فناوری و جامعه,تاریخ، آموزش و جامعه کوانتومی,سواد علمی و تشخیص شبه‌علم,scientific-literacy-pseudoscience
103,129,553,آزمایش‌های بل؛ شواهد تجربی علیه واقع‌گرایی موضعی,bell-experiments,https://qpedia.ir/bell-experiments/,کوانتوم در علم، فناوری و جامعه,تاریخ، آموزش و جامعه کوانتومی,آزمایش‌ها و رویدادهای تاریخی,quantum-historical-experiments-events
104,130,560,آیا فیزیک کلاسیک اشتباه بود؟ نه، محدود بود,is-classical-physics-wrong,https://qpedia.ir/is-classical-physics-wrong/,دانش بنیادی کوانتوم,مبانی فیزیک کوانتومی,حالت، تابع موج و مفاهیم پایه,quantum-state-wave-function-basics
105,131,561,آیا فیزیک دانان بر سر معنای اندازه گیری توافق دارند؟,quantum-interpretation-debate,https://qpedia.ir/quantum-interpretation-debate/,دانش بنیادی کوانتوم,تفسیرها، فلسفه و مرزهای واقعیت,تفسیر، واقعیت و مسئله ناظر,quantum-interpretation-reality-observer
106,132,563,آیا هوش مصنوعی از کوانتوم استفاده می کند؟,does-ai-use-quantum,https://qpedia.ir/does-ai-use-quantum/,اطلاعات و فناوری کوانتومی,هوش مصنوعی و یادگیری ماشین کوانتومی,هوش مصنوعی کوانتومی؛ مبانی و محدودیت‌ها,quantum-ai-foundations-limitations
107,133,565,آیا کوانتوم یعنی چندجهانی واقعی است؟,is-many-worlds-real,https://qpedia.ir/is-many-worlds-real/,دانش بنیادی کوانتوم,تفسیرها، فلسفه و مرزهای واقعیت,تفسیر، واقعیت و مسئله ناظر,quantum-interpretation-reality-observer
108,134,566,آینده شغلی: آیا باید فیزیک کوانتوم یاد بگیریم؟,quantum-career-future-learn,https://qpedia.ir/quantum-career-future-learn/,کوانتوم در علم، فناوری و جامعه,تاریخ، آموزش و جامعه کوانتومی,آموزش، منابع و مسیر یادگیری,quantum-learning-resources
109,135,567,اصل عدم قطعیت هایزنبرگ به زبان ساده,heisenberg-uncertainty-principle,https://qpedia.ir/heisenberg-uncertainty-principle/,دانش بنیادی کوانتوم,مبانی فیزیک کوانتومی,حالت، تابع موج و مفاهیم پایه,quantum-state-wave-function-basics
110,137,570,برهم نهی یعنی چه، و چرا اشیای بزرگ برهم نهی نمی شوند,why-large-objects-dont-superpose,https://qpedia.ir/why-large-objects-dont-superpose/,دانش بنیادی کوانتوم,مبانی فیزیک کوانتومی,برهم‌نهی، درهم‌تنیدگی و همدوسی,superposition-entanglement-coherence
111,138,571,تفاوت جبرگرایی کلاسیک و احتمال کوانتومی,determinism-vs-probability,https://qpedia.ir/determinism-vs-probability/,دانش بنیادی کوانتوم,مبانی فیزیک کوانتومی,حالت، تابع موج و مفاهیم پایه,quantum-state-wave-function-basics
112,139,2873,نیلز بور و اصل تکمیل؛ چرا یک چیز هم موج است هم ذره؟,bohr-complementarity,https://qpedia.ir/bohr-complementarity/,دانش بنیادی کوانتوم,مبانی فیزیک کوانتومی,حالت، تابع موج و مفاهیم پایه,quantum-state-wave-function-basics
113,141,572,تفاوت فیزیک کوانتوم و مکانیک کوانتومی چیست؟,quantum-physics-vs-quantum-mechanics,https://qpedia.ir/quantum-physics-vs-quantum-mechanics/,دانش بنیادی کوانتوم,مبانی فیزیک کوانتومی,حالت، تابع موج و مفاهیم پایه,quantum-state-wave-function-basics
114,142,573,تمثیل تاس در مقابل تمثیل سکه: کدام برای عدم قطعیت بهتر است؟,coin-vs-dice-quantum-uncertainty,https://qpedia.ir/coin-vs-dice-quantum-uncertainty/,دانش بنیادی کوانتوم,مبانی فیزیک کوانتومی,اندازه‌گیری، احتمال و عدم‌قطعیت,measurement-probability-uncertainty
115,143,574,تمرین ذهنی: خودتان یک تمثیل بسازید و مرزش را پیدا کنید,quantum-analogy-exercise-boundary,https://qpedia.ir/quantum-analogy-exercise-boundary/,کوانتوم در علم، فناوری و جامعه,تاریخ، آموزش و جامعه کوانتومی,آموزش، منابع و مسیر یادگیری,quantum-learning-resources
116,144,575,چرا «نفهمیدنِ درست» کوانتوم، خودش یک دستاورد است؟,quantum-understanding-achievement,https://qpedia.ir/quantum-understanding-achievement/,کوانتوم در علم، فناوری و جامعه,تاریخ، آموزش و جامعه کوانتومی,آموزش، منابع و مسیر یادگیری,quantum-learning-resources
117,145,2226,عدد کوانتومی چیست؟,quantum-number,https://qpedia.ir/quantum-number/,دانش بنیادی کوانتوم,مبانی فیزیک کوانتومی,حالت، تابع موج و مفاهیم پایه,quantum-state-wave-function-basics
118,146,2227,ناظر در کوانتوم چیست؟,observer,https://qpedia.ir/observer/,دانش بنیادی کوانتوم,مبانی فیزیک کوانتومی,اندازه‌گیری، احتمال و عدم‌قطعیت,measurement-probability-uncertainty
119,147,2228,اصل مکملیت چیست؟,complementarity-principle,https://qpedia.ir/complementarity-principle/,دانش بنیادی کوانتوم,مبانی فیزیک کوانتومی,حالت، تابع موج و مفاهیم پایه,quantum-state-wave-function-basics
120,148,2230,نوترینو چیست؟,neutrino,https://qpedia.ir/neutrino/,دانش بنیادی کوانتوم,ذرات، میدان‌ها و فیزیک هسته‌ای,ذرات، میدان‌ها، هسته و نیروها,particles-fields-nuclei-forces
121,149,2233,مدل استاندارد چیست؟,standard-model,https://qpedia.ir/standard-model/,دانش بنیادی کوانتوم,ذرات، میدان‌ها و فیزیک هسته‌ای,ذرات، میدان‌ها، هسته و نیروها,particles-fields-nuclei-forces
122,150,2234,ذرات مجازی چیستند؟,virtual-particles,https://qpedia.ir/virtual-particles/,دانش بنیادی کوانتوم,مبانی فیزیک کوانتومی,اثرها، انرژی و پدیده‌های کوانتومی,quantum-effects-energy-phenomena
123,151,2237,مقالهٔ EPR چیست؟,epr-paradox,https://qpedia.ir/epr-paradox/,کوانتوم در علم، فناوری و جامعه,تاریخ، آموزش و جامعه کوانتومی,آزمایش‌ها و رویدادهای تاریخی,quantum-historical-experiments-events
124,152,2238,آزمایش اشترن-گرلاخ چیست؟,stern-gerlach-experiment,https://qpedia.ir/stern-gerlach-experiment/,کوانتوم در علم، فناوری و جامعه,تاریخ، آموزش و جامعه کوانتومی,آزمایش‌ها و رویدادهای تاریخی,quantum-historical-experiments-events
125,153,2247,حافظهٔ فلش چطور کار می‌کند؟,flash-memory,https://qpedia.ir/flash-memory/,کوانتوم در علم، فناوری و جامعه,اندازه‌گیری، حسگرها و فناوری‌های کوانتومی,الکترونیک و فناوری‌های روزمره,quantum-electronics-everyday-technology
126,154,2248,میکروسکوپ تونلی چیست؟,scanning-tunneling-microscope,https://qpedia.ir/scanning-tunneling-microscope/,کوانتوم در علم، فناوری و جامعه,اندازه‌گیری، حسگرها و فناوری‌های کوانتومی,الکترونیک و فناوری‌های روزمره,quantum-electronics-everyday-technology
127,155,2249,فیبر نوری چگونه کار می‌کند؟,fiber-optics,https://qpedia.ir/fiber-optics/,کوانتوم در علم، فناوری و جامعه,اندازه‌گیری، حسگرها و فناوری‌های کوانتومی,الکترونیک و فناوری‌های روزمره,quantum-electronics-everyday-technology
128,156,2250,مزیت کوانتومی چیست؟ تفاوت آن با برتری مطلق رایانه‌ها,quantum-supremacy,https://qpedia.ir/quantum-supremacy/,اطلاعات و فناوری کوانتومی,رایانش کوانتومی,سخت‌افزار، نرم‌افزار و محدودیت‌ها,quantum-computing-systems-limitations
129,157,2251,الگوریتم شور چیست؟,shor-algorithm,https://qpedia.ir/shor-algorithm/,اطلاعات و فناوری کوانتومی,رایانش کوانتومی,رایانش، الگوریتم‌ها و محدودیت‌های کوانتومی,quantum-computing-algorithms-limitations
130,158,2259,تفسیر دوبروی-بوهم چیست؟,pilot-wave,https://qpedia.ir/pilot-wave/,دانش بنیادی کوانتوم,تفسیرها، فلسفه و مرزهای واقعیت,تفسیر، واقعیت و مسئله ناظر,quantum-interpretation-reality-observer
131,159,2260,آیا جهش ژنتیکی کوانتومی است؟,genetic-mutation,https://qpedia.ir/genetic-mutation/,کوانتوم در علم، فناوری و جامعه,شیمی، زیست‌شناسی و پزشکی کوانتومی,شیمی، زیست‌شناسی، مغز و کوانتوم,quantum-chemistry-biology-brain
132,160,2743,پروتون از چه ساخته شده؟ کوارک کافی نیست,proton-neutron-quark-structure,https://qpedia.ir/proton-neutron-quark-structure/,دانش بنیادی کوانتوم,ذرات، میدان‌ها و فیزیک هسته‌ای,ذرات، میدان‌ها، هسته و نیروها,particles-fields-nuclei-forces
133,161,2751,کامپیوتر توپولوژیک؛ گره ای که خطا را نمی بیند,topological-quantum-computing,https://qpedia.ir/topological-quantum-computing/,اطلاعات و فناوری کوانتومی,رایانش کوانتومی,سخت‌افزار، نرم‌افزار و محدودیت‌ها,quantum-computing-systems-limitations
134,163,3307,دوران NISQ و محدودیت‌های رایانه‌های کوانتومی کنونی,nisq-era,https://qpedia.ir/nisq-era/,اطلاعات و فناوری کوانتومی,رایانش کوانتومی,سخت‌افزار، نرم‌افزار و محدودیت‌ها,quantum-computing-systems-limitations
135,164,3319,روشن‌سازی کوانتومی؛ تشخیص هدف در محیط پرنویز,quantum-illumination,https://qpedia.ir/quantum-illumination/,جهان کوانتومی و ساختار ماده,اپتیک کوانتومی و فوتونیک,تصویربرداری، میکروسکوپی و لیتوگرافی,quantum-imaging-microscopy-lithography
136,165,3321,لیدار کوانتومی چیست و چگونه فاصله را با فوتون‌ها اندازه می‌گیرد؟,quantum-lidar,https://qpedia.ir/quantum-lidar/,کوانتوم در علم، فناوری و جامعه,اندازه‌گیری، حسگرها و فناوری‌های کوانتومی,سنجش، زمان‌سنجی و ناوبری,quantum-sensing-time-navigation
137,171,3334,نور کند؛ کنترل سرعت گروهی بدون کندشدن ثابت بنیادی نور,slow-light,https://qpedia.ir/slow-light/,جهان کوانتومی و ساختار ماده,اپتیک کوانتومی و فوتونیک,نور، لیزر و فوتونیک کوانتومی,quantum-light-lasers-photonics
138,172,3336,لیتوگرافی کوانتومی؛ الگودهی زیر حد رایلی و هزینهٔ واقعی آن,quantum-lithography,https://qpedia.ir/quantum-lithography/,جهان کوانتومی و ساختار ماده,اپتیک کوانتومی و فوتونیک,تصویربرداری، میکروسکوپی و لیتوگرافی,quantum-imaging-microscopy-lithography
139,174,3340,انگشت‌نگاری کوانتومی؛ مقایسه داده با پیام بسیار کوتاه,quantum-fingerprinting,https://qpedia.ir/quantum-fingerprinting/,اطلاعات و فناوری کوانتومی,ارتباطات، شبکه و امنیت کوانتومی,ارتباط، تله‌پورت و شبکه کوانتومی,quantum-communication-teleportation-networks
140,178,3348,یخچال رقیق‌سازی؛ چگونه به چند میلی‌کلوین می‌رسیم؟,dilution-refrigerator,https://qpedia.ir/dilution-refrigerator/,اطلاعات و فناوری کوانتومی,رایانش کوانتومی,سخت‌افزار، نرم‌افزار و محدودیت‌ها,quantum-computing-systems-limitations
141,188,3369,اکسیون؛ ذره‌ای فرضی میان مسئلهٔ CP قوی و مادهٔ تاریک,axion,https://qpedia.ir/axion/,دانش بنیادی کوانتوم,ذرات، میدان‌ها و فیزیک هسته‌ای,پادماده، ماده تاریک و ذرات فرضی,antimatter-dark-matter-hypothetical-particles
142,189,3371,ویمپ؛ نامزد مشهور مادهٔ تاریک که هنوز پنهان مانده است,wimp,https://qpedia.ir/wimp/,دانش بنیادی کوانتوم,ذرات، میدان‌ها و فیزیک هسته‌ای,پادماده، ماده تاریک و ذرات فرضی,antimatter-dark-matter-hypothetical-particles
143,190,3373,انرژی تاریک و جهان کوانتومی؛ بحران کوچک‌ترین چگالی بزرگ فیزیک,dark-energy-quantum,https://qpedia.ir/dark-energy-quantum/,جهان کوانتومی و ساختار ماده,کیهان، گرانش و ترمودینامیک کوانتومی,کیهان‌شناسی و جهان آغازین,quantum-cosmology-early-universe
144,191,3375,تورم کیهانی؛ جهش آغازین فضا و بذر ساختارهای جهان,cosmic-inflation,https://qpedia.ir/cosmic-inflation/,جهان کوانتومی و ساختار ماده,کیهان، گرانش و ترمودینامیک کوانتومی,کیهان‌شناسی و جهان آغازین,quantum-cosmology-early-universe
145,192,3377,تابش زمینهٔ کیهانی؛ قدیمی‌ترین نوری که می‌توانیم ببینیم,cosmic-microwave-background,https://qpedia.ir/cosmic-microwave-background/,جهان کوانتومی و ساختار ماده,کیهان، گرانش و ترمودینامیک کوانتومی,کیهان‌شناسی و جهان آغازین,quantum-cosmology-early-universe
146,193,3379,کرم‌چاله؛ میان‌بُر فضا–زمان میان ریاضیات و واقعیت,wormhole,https://qpedia.ir/wormhole/,جهان کوانتومی و ساختار ماده,کیهان، گرانش و ترمودینامیک کوانتومی,گرانش، فضا–زمان و سیاه‌چاله‌ها,gravity-spacetime-black-holes
147,194,3381,کیهان‌شناسی کوانتومی؛ وقتی خود جهان موضوع نظریه کوانتومی می‌شود,quantum-cosmology,https://qpedia.ir/quantum-cosmology/,جهان کوانتومی و ساختار ماده,کیهان، گرانش و ترمودینامیک کوانتومی,کیهان‌شناسی و جهان آغازین,quantum-cosmology-early-universe
148,195,3383,جهش کوانتومی کیهان؛ آیا پیش از مهبانگ مرحله‌ای دیگر وجود داشت؟,quantum-bounce,https://qpedia.ir/quantum-bounce/,جهان کوانتومی و ساختار ماده,کیهان، گرانش و ترمودینامیک کوانتومی,کیهان‌شناسی و جهان آغازین,quantum-cosmology-early-universe
149,197,3387,موسیقی کوانتومی؛ از دادهٔ آزمایش تا صدا و آهنگ‌سازی,quantum-music,https://qpedia.ir/quantum-music/,کوانتوم در علم، فناوری و جامعه,تاریخ، آموزش و جامعه کوانتومی,فرهنگ، رسانه، صنعت و آینده کوانتوم,quantum-culture-media-industry-future
150,198,3389,داستان علمی‌تخیلی کوانتومی؛ روایت جهان‌های ممکن بدون تحریف علم,quantum-fiction,https://qpedia.ir/quantum-fiction/,کوانتوم در علم، فناوری و جامعه,تاریخ، آموزش و جامعه کوانتومی,فرهنگ، رسانه، صنعت و آینده کوانتوم,quantum-culture-media-industry-future
151,199,3391,فرهنگ کوانتومی؛ وقتی زبان فیزیک وارد جامعه می‌شود,quantum-culture,https://qpedia.ir/quantum-culture/,کوانتوم در علم، فناوری و جامعه,تاریخ، آموزش و جامعه کوانتومی,فرهنگ، رسانه، صنعت و آینده کوانتوم,quantum-culture-media-industry-future
152,200,3393,زمستان کوانتومی؛ اگر سرمایه و اعتماد از فناوری عقب‌نشینی کنند,quantum-winter,https://qpedia.ir/quantum-winter/,اطلاعات و فناوری کوانتومی,رایانش کوانتومی,سخت‌افزار، نرم‌افزار و محدودیت‌ها,quantum-computing-systems-limitations
153,201,3395,تکینگی کوانتومی؛ مرز شکست نظریه یا جهش فرضی فناوری؟,quantum-singularity,https://qpedia.ir/quantum-singularity/,جهان کوانتومی و ساختار ماده,کیهان، گرانش و ترمودینامیک کوانتومی,گرانش، فضا–زمان و سیاه‌چاله‌ها,gravity-spacetime-black-holes
154,211,3416,کوانتوم در سرطان؛ از ابزار تشخیص تا ادعاهای درمانی,quantum-cancer,https://qpedia.ir/quantum-cancer/,کوانتوم در علم، فناوری و جامعه,شیمی، زیست‌شناسی و پزشکی کوانتومی,پزشکی و ارزیابی ادعاهای درمانی,quantum-medicine-claims
155,212,3418,کوانتوم در باکتری‌ها؛ از فتوسنتز تا حس‌کردن میدان,quantum-bacteria,https://qpedia.ir/quantum-bacteria/,کوانتوم در علم، فناوری و جامعه,شیمی، زیست‌شناسی و پزشکی کوانتومی,شیمی، زیست‌شناسی، مغز و کوانتوم,quantum-chemistry-biology-brain
156,213,3420,کوانتوم در ویروس‌ها؛ علم مولکولی یا برچسبی گمراه‌کننده؟,quantum-viruses,https://qpedia.ir/quantum-viruses/,کوانتوم در علم، فناوری و جامعه,شیمی، زیست‌شناسی و پزشکی کوانتومی,شیمی، زیست‌شناسی، مغز و کوانتوم,quantum-chemistry-biology-brain
157,220,3434,احتمال کوانتومی؛ چرا جمع دامنه‌ها با جمع احتمال‌ها فرق دارد؟,quantum-probability,https://qpedia.ir/quantum-probability/,دانش بنیادی کوانتوم,مبانی فیزیک کوانتومی,اندازه‌گیری، احتمال و عدم‌قطعیت,measurement-probability-uncertainty
158,221,3436,تابش شتاب و اثر اونرو؛ آیا ناظر شتاب‌دار خلأ را گرم می‌بیند؟,acceleration-radiation,https://qpedia.ir/acceleration-radiation/,جهان کوانتومی و ساختار ماده,کیهان، گرانش و ترمودینامیک کوانتومی,گرانش، فضا–زمان و سیاه‌چاله‌ها,gravity-spacetime-black-holes
159,224,3442,الکترودینامیک کوانتومی؛ نظریه‌ای که نور و بار را با دقت بی‌سابقه پیوند می‌دهد,quantum-electrodynamics,https://qpedia.ir/quantum-electrodynamics/,دانش بنیادی کوانتوم,ذرات، میدان‌ها و فیزیک هسته‌ای,ذرات، میدان‌ها، هسته و نیروها,particles-fields-nuclei-forces
160,238,3472,عایق توپولوژیک؛ درون عایق، روی سطح رسانا,topological-insulator,https://qpedia.ir/topological-insulator/,جهان کوانتومی و ساختار ماده,ماده چگال و مواد کوانتومی,ابررسانایی و مواد کوانتومی,superconductivity-quantum-materials
161,252,3501,میکروسکوپ کوانتومی؛ دیدن نمونه با فوتون کمتر,quantum-microscopy,https://qpedia.ir/quantum-microscopy/,جهان کوانتومی و ساختار ماده,اپتیک کوانتومی و فوتونیک,تصویربرداری، میکروسکوپی و لیتوگرافی,quantum-imaging-microscopy-lithography
162,262,3521,شبکهٔ کوانتومی؛ زیرساختی برای توزیع درهم‌تنیدگی,quantum-network,https://qpedia.ir/quantum-network/,اطلاعات و فناوری کوانتومی,ارتباطات، شبکه و امنیت کوانتومی,ارتباط، تله‌پورت و شبکه کوانتومی,quantum-communication-teleportation-networks
163,263,3523,رایانش کوانتومی ابری؛ دسترسی از مرورگر به یک پردازنده واقعی,quantum-cloud,https://qpedia.ir/quantum-cloud/,اطلاعات و فناوری کوانتومی,رایانش کوانتومی,سخت‌افزار، نرم‌افزار و محدودیت‌ها,quantum-computing-systems-limitations
164,281,559,آیا درهم تنیدگی یعنی اطلاعات سریع تر از نور منتقل می شود؟,entanglement-myths,https://qpedia.ir/entanglement-myths/,دانش بنیادی کوانتوم,مبانی فیزیک کوانتومی,برهم‌نهی، درهم‌تنیدگی و همدوسی,superposition-entanglement-coherence
165,283,2086,نقشهٔ ذهنی پنج‌گانه برای فهم درست کوانتوم,quantum-fivefold-mental-map,https://qpedia.ir/quantum-fivefold-mental-map/,کوانتوم در علم، فناوری و جامعه,تاریخ، آموزش و جامعه کوانتومی,آموزش، منابع و مسیر یادگیری,quantum-learning-resources
166,284,2087,حسگرهای کوانتومی؛ آیندهٔ دقت اندازه‌گیری,quantum-sensors,https://qpedia.ir/quantum-sensors/,کوانتوم در علم، فناوری و جامعه,اندازه‌گیری، حسگرها و فناوری‌های کوانتومی,سنجش، زمان‌سنجی و ناوبری,quantum-sensing-time-navigation
167,285,2088,درهم‌تنیدگی در کامپیوترهای کوانتومی امروزی,entanglement-quantum-computers,https://qpedia.ir/entanglement-quantum-computers/,دانش بنیادی کوانتوم,مبانی فیزیک کوانتومی,برهم‌نهی، درهم‌تنیدگی و همدوسی,superposition-entanglement-coherence
168,287,2093,منابع معتبر فارسی و انگلیسی برای یادگیری عمیق‌تر کوانتوم,quantum-learning-resources,https://qpedia.ir/quantum-learning-resources/,کوانتوم در علم، فناوری و جامعه,تاریخ، آموزش و جامعه کوانتومی,آموزش، منابع و مسیر یادگیری,quantum-learning-resources
169,289,2096,پنل خورشیدی و اثر فوتوالکتریک؛ تبدیل نور به جریان زندگی,solar-cells-photoelectric,https://qpedia.ir/solar-cells-photoelectric/,کوانتوم در علم، فناوری و جامعه,اندازه‌گیری، حسگرها و فناوری‌های کوانتومی,الکترونیک و فناوری‌های روزمره,quantum-electronics-everyday-technology
170,290,2097,چرا ریاضیات کوانتوم درست است ولی فهمش سخت است؟,why-quantum-math-works,https://qpedia.ir/why-quantum-math-works/,کوانتوم در علم، فناوری و جامعه,تاریخ، آموزش و جامعه کوانتومی,آموزش، منابع و مسیر یادگیری,quantum-learning-resources
171,291,2098,کامپیوتر کوانتومی چیست و چقدر با واقعیت فاصله دارد؟,quantum-computer-reality,https://qpedia.ir/quantum-computer-reality/,اطلاعات و فناوری کوانتومی,رایانش کوانتومی,سخت‌افزار، نرم‌افزار و محدودیت‌ها,quantum-computing-systems-limitations
172,292,2225,حالت کوانتومی چیست؟ چرا «الکترون کجاست؟» پرسش اشتباه است؟,quantum-state,https://qpedia.ir/quantum-state/,دانش بنیادی کوانتوم,مبانی فیزیک کوانتومی,حالت، تابع موج و مفاهیم پایه,quantum-state-wave-function-basics
173,293,2229,کوارک چیست؟,quark,https://qpedia.ir/quark/,دانش بنیادی کوانتوم,ذرات، میدان‌ها و فیزیک هسته‌ای,ذرات، میدان‌ها، هسته و نیروها,particles-fields-nuclei-forces
174,294,2231,بوزون هیگز چیست؟,higgs-boson,https://qpedia.ir/higgs-boson/,دانش بنیادی کوانتوم,ذرات، میدان‌ها و فیزیک هسته‌ای,ذرات، میدان‌ها، هسته و نیروها,particles-fields-nuclei-forces
175,295,2232,پادماده چیست؟,antimatter,https://qpedia.ir/antimatter/,دانش بنیادی کوانتوم,ذرات، میدان‌ها و فیزیک هسته‌ای,پادماده، ماده تاریک و ذرات فرضی,antimatter-dark-matter-hypothetical-particles
176,301,2235,اسپین هسته‌ای چیست؟,nuclear-spin,https://qpedia.ir/nuclear-spin/,دانش بنیادی کوانتوم,مبانی فیزیک کوانتومی,حالت، تابع موج و مفاهیم پایه,quantum-state-wave-function-basics
177,302,2240,همدوسی چیست؟,coherence,https://qpedia.ir/coherence/,دانش بنیادی کوانتوم,مبانی فیزیک کوانتومی,برهم‌نهی، درهم‌تنیدگی و همدوسی,superposition-entanglement-coherence
178,303,2252,الگوریتم گروور چیست؟,grover-algorithm,https://qpedia.ir/grover-algorithm/,اطلاعات و فناوری کوانتومی,رایانش کوانتومی,رایانش، الگوریتم‌ها و محدودیت‌های کوانتومی,quantum-computing-algorithms-limitations
179,304,2253,تصحیح خطای کوانتومی چیست؟,quantum-error-correction,https://qpedia.ir/quantum-error-correction/,اطلاعات و فناوری کوانتومی,رایانش کوانتومی,سخت‌افزار، نرم‌افزار و محدودیت‌ها,quantum-computing-systems-limitations
180,305,2254,چگالش بوز-اینشتین چیست؟,bose-einstein-condensate,https://qpedia.ir/bose-einstein-condensate/,جهان کوانتومی و ساختار ماده,ماده چگال و مواد کوانتومی,ابرشارگی، چگالش و گازهای کوانتومی,superfluidity-condensates-quantum-gases
181,306,2255,همجوشی ستارگان چگونه ممکن است؟,stellar-fusion,https://qpedia.ir/stellar-fusion/,دانش بنیادی کوانتوم,ذرات، میدان‌ها و فیزیک هسته‌ای,ذرات، میدان‌ها، هسته و نیروها,particles-fields-nuclei-forces
182,307,2256,قضیهٔ عدم‌کپی چیست؟,no-cloning-theorem,https://qpedia.ir/no-cloning-theorem/,دانش بنیادی کوانتوم,مبانی فیزیک کوانتومی,اثرها، انرژی و پدیده‌های کوانتومی,quantum-effects-energy-phenomena
183,308,2257,گیت کوانتومی چیست؟,quantum-gate,https://qpedia.ir/quantum-gate/,اطلاعات و فناوری کوانتومی,رایانش کوانتومی,رایانش، الگوریتم‌ها و محدودیت‌های کوانتومی,quantum-computing-algorithms-limitations
184,309,2258,شبیه‌سازی کوانتومی چیست؟,quantum-simulation,https://qpedia.ir/quantum-simulation/,اطلاعات و فناوری کوانتومی,رایانش کوانتومی,سخت‌افزار، نرم‌افزار و محدودیت‌ها,quantum-computing-systems-limitations
