sequence,term,seo_title,meta_description,links,words,category,related,schema
78,یادگیری ماشین کوانتومی,یادگیری ماشین کوانتومی چیست؟ تعریف ساده، مثال و کاربرد,یادگیری ماشین کوانتومی چیست؟ حوزه‌ای است که مدارها و داده‌های کوانتومی را با روش‌های یادگیری ماشین ترکیب می‌کند. مثال آن را ببینید.,4,261,هوش مصنوعی کوانتومی,https://qpedia.ir/quantum-machine-learning/,DefinedTerm
79,کرنل کوانتومی,کرنل کوانتومی چیست؟ تعریف ساده، مثال و کاربردهای مهم,کرنل کوانتومی چیست؟ تابع شباهتی است که با نگاشت داده به حالت کوانتومی و اندازه‌گیری هم‌پوشانی ساخته می‌شود. مثال آن را ببینید.,4,250,هوش مصنوعی کوانتومی,https://qpedia.ir/quantum-machine-learning/,DefinedTerm
80,حافظه کوانتومی,حافظه کوانتومی چیست؟ تعریف ساده، مثال و کاربردهای مهم,حافظه کوانتومی چیست؟ سامانه‌ای برای نگهداری موقت حالت کوانتومی با حفظ اطلاعات دامنه و فاز است. مثال روزمره و مرز تمثیل را ببینید.,4,232,ارتباطات کوانتومی,https://qpedia.ir/quantum-network/,DefinedTerm
81,تله‌پورت کوانتومی,تله‌پورت کوانتومی چیست؟ تعریف ساده، مثال و کاربردهای مهم,تله‌پورت کوانتومی چیست؟ انتقال حالت کوانتومی با مصرف درهم‌تنیدگی و ارتباط کلاسیک، بدون جابه‌جایی خود ماده، است. مثال آن را ببینید.,4,233,ارتباطات کوانتومی,https://qpedia.ir/quantum-teleportation/,DefinedTerm
82,توزیع کلید کوانتومی,توزیع کلید کوانتومی چیست؟ تعریف ساده، مثال و کاربردهای مهم,توزیع کلید کوانتومی چیست؟ روشی برای تولید کلید مشترک با استفاده از حالت‌های کوانتومی و آشکارسازی آماری شنود است. مثال آن را ببینید.,4,244,ارتباطات کوانتومی,https://qpedia.ir/quantum-cryptography-internet-security/,DefinedTerm
83,رمزنگاری پساکوانتومی,رمزنگاری پساکوانتومی چیست؟ تعریف ساده، مثال و کاربرد,رمزنگاری پساکوانتومی چیست؟ الگوریتم‌های کلاسیکی است که برای مقاومت در برابر حملات رایانه‌های کوانتومی طراحی شده‌اند. مثال آن را ببینید.,4,230,ارتباطات کوانتومی,https://qpedia.ir/post-quantum-cryptography/,DefinedTerm
84,تکرارگر کوانتومی,تکرارگر کوانتومی چیست؟ تعریف ساده، مثال و کاربردهای مهم,تکرارگر کوانتومی چیست؟ گره‌ای برای گسترش درهم‌تنیدگی در شبکه بلندبرد بدون کپی‌کردن حالت ناشناخته است. مثال آن را ببینید.,4,230,ارتباطات کوانتومی,https://qpedia.ir/quantum-network/,DefinedTerm
85,شبکه کوانتومی,شبکه کوانتومی چیست؟ تعریف ساده، مثال و کاربردهای مهم,شبکه کوانتومی چیست؟ زیرساختی برای توزیع حالت، درهم‌تنیدگی و خدمات اطلاعات کوانتومی میان گره‌ها است. کاربرد آن را بخوانید.,4,229,ارتباطات کوانتومی,https://qpedia.ir/quantum-network/,DefinedTerm
86,پیوند جوزفسون,پیوند جوزفسون چیست؟ تعریف ساده، مثال و کاربردهای مهم,پیوند جوزفسون چیست؟ دو ابررسانا با مانعی نازک میان آن‌ها است که جریان کوانتومی می‌تواند از مانع عبور کند. مثال آن را ببینید.,4,236,مواد کوانتومی,https://qpedia.ir/josephson-junction/,DefinedTerm
87,جفت کوپر,جفت کوپر چیست؟ تعریف روان، مثال روزمره و کاربردهای واقعی,جفت کوپر چیست؟ جفت هم‌بسته الکترون‌ها در ابررسانا است که می‌تواند رفتار جمعی همدوس داشته باشد. مثال روزمره و مرز تمثیل را ببینید.,4,238,مواد کوانتومی,https://qpedia.ir/superconductivity/,DefinedTerm
88,ابررسانایی,ابررسانایی چیست؟ تعریف روان، مثال روزمره و کاربردهای واقعی,ابررسانایی چیست؟ فازی از ماده با مقاومت الکتریکی صفر و پاسخ مغناطیسی ویژه در شرایط مناسب است. مثال روزمره و مرز تمثیل را ببینید.,4,231,مواد کوانتومی,https://qpedia.ir/superconductivity/,DefinedTerm
89,ابرشارگی,ابرشارگی چیست؟ تعریف روان، مثال روزمره و کاربردهای واقعی,ابرشارگی چیست؟ فازی از سیال کوانتومی است که می‌تواند بدون گرانروی معمول جریان یابد. تعریف کامل آن در واژه‌نامه آمده است.,4,234,مواد کوانتومی,https://qpedia.ir/superfluidity/,DefinedTerm
90,چگالش بوز–اینشتین,چگالش بوز–اینشتین چیست؟ تعریف ساده، مثال و کاربردهای مهم,چگالش بوز–اینشتین چیست؟ حالتی از ماده است که در آن تعداد زیادی بوزون حالت کوانتومی کم‌انرژی مشترکی را اشغال می‌کنند. مثال آن را ببینید.,4,237,مواد کوانتومی,https://qpedia.ir/bose-einstein-condensate/,DefinedTerm
91,ماده کوانتومی,ماده کوانتومی چیست؟ تعریف ساده، مثال و کاربردهای مهم,ماده کوانتومی چیست؟ ماده‌ای است که ویژگی‌های جمعی آن به اثرهای کوانتومی مانند همدوسی یا توپولوژی وابسته است. مثال آن را ببینید.,4,242,مواد کوانتومی,https://qpedia.ir/quantum-spin-liquid/,DefinedTerm
92,مایع اسپینی کوانتومی,مایع اسپینی کوانتومی چیست؟ تعریف ساده، مثال و کاربرد,مایع اسپینی کوانتومی چیست؟ حالت مغناطیسی درهم‌تنیده‌ای است که اسپین‌ها حتی در دمای پایین نظم معمول پیدا نمی‌کنند. مثال آن را ببینید.,4,242,مواد کوانتومی,https://qpedia.ir/quantum-spin-liquid/,DefinedTerm
93,عایق توپولوژیک,عایق توپولوژیک چیست؟ تعریف ساده، مثال و کاربردهای مهم,عایق توپولوژیک چیست؟ ماده‌ای با درون عایق و حالت‌های مرزی رسانای محافظت‌شده توسط ویژگی‌های توپولوژیک است. مثال آن را ببینید.,4,233,مواد کوانتومی,https://qpedia.ir/topological-insulator/,DefinedTerm
94,گرانش کوانتومی,گرانش کوانتومی چیست؟ تعریف ساده، مثال و کاربردهای مهم,گرانش کوانتومی چیست؟ حوزه‌ای است که می‌کوشد توصیف کوانتومی سازگاری از گرانش و فضاـزمان بسازد. مثال روزمره و مرز تمثیل را ببینید.,4,241,کیهان کوانتومی,https://qpedia.ir/quantum-gravity/,DefinedTerm
95,تابش هاوکینگ,تابش هاوکینگ چیست؟ تعریف ساده، مثال و کاربردهای مهم,تابش هاوکینگ چیست؟ تابش گرمایی پیش‌بینی‌شده برای سیاه‌چاله بر اثر میدان‌های کوانتومی در فضاـزمان خمیده است. مثال آن را ببینید.,4,241,کیهان کوانتومی,https://qpedia.ir/black-hole-information-paradox/,DefinedTerm
96,افق رویداد,افق رویداد چیست؟ تعریف روان، مثال روزمره و کاربردهای واقعی,افق رویداد چیست؟ مرز علّی سیاه‌چاله است که پس از عبور از آن هیچ مسیر آینده‌داری به بیرون نمی‌رسد. مثال روزمره و مرز تمثیل را ببینید.,4,241,کیهان کوانتومی,https://qpedia.ir/black-hole-information-paradox/,DefinedTerm
97,پارادوکس اطلاعات سیاه‌چاله,پارادوکس اطلاعات سیاه‌چاله چیست؟ تعریف ساده و کاربرد,پارادوکس اطلاعات سیاه‌چاله چیست؟ تنش میان تبخیر گرمایی سیاه‌چاله و حفظ اطلاعات در تحول یکانی کوانتومی است. مثال آن را ببینید.,4,243,کیهان کوانتومی,https://qpedia.ir/black-hole-information-paradox/,DefinedTerm
98,منحنی پیج,منحنی پیج چیست؟ تعریف روان، مثال روزمره و کاربردهای واقعی,منحنی پیج چیست؟ نمودار مورد انتظار آنتروپی درهم‌تنیدگی تابش در یک فرایند تبخیر یکانی سیاه‌چاله است. کاربرد آن را بخوانید.,4,237,فلسفه کوانتوم,https://qpedia.ir/holographic-principle/,DefinedTerm
99,اصل هولوگرافیک,اصل هولوگرافیک چیست؟ تعریف ساده، مثال و کاربردهای مهم,اصل هولوگرافیک چیست؟ ایده‌ای است که اطلاعات یک ناحیه گرانشی می‌تواند با درجات آزادی روی مرز آن توصیف شود. مثال آن را ببینید.,4,239,فلسفه کوانتوم,https://qpedia.ir/holographic-principle/,DefinedTerm
100,تورم کیهانی,تورم کیهانی چیست؟ تعریف روان، مثال روزمره و کاربردهای واقعی,تورم کیهانی چیست؟ مرحله‌ای فرضی از انبساط شتاب‌دار بسیار سریع در جهان آغازین است. مثال و کاربرد ساده را در واژه‌نامهٔ Qpedia بخوانید.,4,238,کیهان کوانتومی,https://qpedia.ir/cosmic-inflation/,DefinedTerm
101,اثر آهارونوف–بوهم,اثر آهارونوف–بوهم چیست؟ تعریف ساده، مثال و کاربردهای مهم,اثر آهارونوف–بوهم چیست؟ تغییر الگوی تداخل الکترون بر اثر شار مغناطیسی محصور، حتی وقتی میدان مغناطیسی در مسیر الکترون صفر است.,4,256,مفاهیم پایه,https://qpedia.ir/aharonov-bohm-effect/,DefinedTerm
102,کریستال‌درمانی,کریستال‌درمانی چیست؟ تعریف ساده، مثال و کاربردهای مهم,کریستال‌درمانی چیست؟ ادعای اینکه سنگ‌های خاص با انرژی یا فرکانس بیماری را درمان می‌کنند؛ ادعایی که شواهد بالینی آن را تأیید نمی‌کند.,4,240,زیست و پزشکی,https://qpedia.ir/crystal-healing-debunked/,DefinedTerm
103,هوش مصنوعی کوانتومی,هوش مصنوعی کوانتومی چیست؟ تعریف ساده، مثال و کاربردهای مهم,هوش مصنوعی کوانتومی چیست؟ برچسبی برای ترکیب یادگیری ماشین و محاسبات کوانتومی که در عمل بیشتر پژوهش آزمایشگاهی است تا محصول آماده.,4,260,هوش مصنوعی کوانتومی,https://qpedia.ir/quantum-ai-marketing-hype/,DefinedTerm
104,اصل طرد پاولی,اصل طرد پاولی چیست؟ تعریف ساده، مثال و کاربردهای مهم,اصل طرد پاولی چیست؟ قاعده‌ای که می‌گوید دو فرمیون یکسان نمی‌توانند همهٔ اعداد کوانتومی یکسانی داشته باشند. مثال آن را ببینید.,4,262,مفاهیم پایه,https://qpedia.ir/pauli-exclusion-principle/,DefinedTerm
105,حد کلاسیک,حد کلاسیک چیست؟ تعریف روان، مثال روزمره و کاربردهای واقعی,حد کلاسیک چیست؟ مرزی که در آن پیش‌بینی‌های فیزیک کلاسیک به‌قدر کافی دقیق می‌ماند. مثال و کاربرد ساده را در واژه‌نامهٔ Qpedia بخوانید.,4,251,مفاهیم پایه,https://qpedia.ir/is-classical-physics-wrong/,DefinedTerm
106,تفسیر مکانیک کوانتومی,تفسیر مکانیک کوانتومی چیست؟ تعریف ساده، مثال و کاربرد,تفسیر مکانیک کوانتومی چیست؟ مجموعه دیدگاه‌هایی که می‌کوشند بگویند تابع موج و اندازه‌گیری دربارهٔ واقعیت چه می‌گویند. مثال آن را ببینید.,4,243,فلسفه کوانتوم,https://qpedia.ir/quantum-interpretation-debate/,DefinedTerm
107,کوانتوم‌واشینگ,کوانتوم‌واشینگ چیست؟ تعریف ساده، مثال و کاربردهای مهم,کوانتوم‌واشینگ چیست؟ به‌کاربردن واژهٔ کوانتوم در تبلیغ محصولی که سازوکار کوانتومی روشنی ندارد. مثال روزمره و مرز تمثیل را ببینید.,4,237,تاریخ و جامعه,https://qpedia.ir/quantum-hype-bubble/,DefinedTerm
108,میکروسکوپ تونلی روبشی,میکروسکوپ تونلی روبشی چیست؟ تعریف ساده، مثال و کاربرد,میکروسکوپ تونلی روبشی چیست؟ ابزاری که با جریان تونل‌زنی از نوک فلزی، سطح نمونه را اتم‌به‌اتم نقشه‌برداری می‌کند. مثال آن را ببینید.,4,242,حسگرها و ابزارها,https://qpedia.ir/scanning-tunneling-microscope/,DefinedTerm
109,فیبر نوری,فیبر نوری چیست؟ تعریف روان، مثال روزمره و کاربردهای واقعی,فیبر نوری چیست؟ رشته‌ای شیشه‌ای که نور را با بازتاب کلی درونی در مسافت‌های دور جابه‌جا می‌کند. مثال روزمره و مرز تمثیل را ببینید.,4,235,حسگرها و ابزارها,https://qpedia.ir/fiber-optics/,DefinedTerm
110,الگوریتم شور,الگوریتم شور چیست؟ تعریف ساده، مثال و کاربردهای مهم,الگوریتم شور چیست؟ الگوریتم کوانتومی دوره‌یابی که با سخت‌افزار تحمل‌پذیر خطا رمزنگاری کلید عمومی رایج را می‌شکند. مثال آن را ببینید.,4,242,رایانش کوانتومی,https://qpedia.ir/shor-algorithm/,DefinedTerm
111,نظریه موج راهنما,نظریه موج راهنما چیست؟ تعریف ساده، مثال و کاربردهای مهم,نظریه موج راهنما چیست؟ تفسیری که ذره را همراه موجی راهنما می‌داند که مسیر آن را تعیین می‌کند. مثال روزمره و مرز تمثیل را ببینید.,4,238,فلسفه کوانتوم,https://qpedia.ir/pilot-wave/,DefinedTerm
112,جهش ژنتیکی کوانتومی,جهش ژنتیکی کوانتومی چیست؟ تعریف ساده، مثال و کاربردهای مهم,جهش ژنتیکی کوانتومی چیست؟ فرضیه‌ای که نقش تونل‌زنی پروتون یا انتقال کوانتومی را در تغییر توالی DNA بررسی می‌کند. مثال آن را ببینید.,4,246,زیست و پزشکی,https://qpedia.ir/genetic-mutation/,DefinedTerm
113,لیدار کوانتومی,لیدار کوانتومی چیست؟ تعریف ساده، مثال و کاربردهای مهم,لیدار کوانتومی چیست؟ فاصله‌سنجی با پالس نوری و شمارش تک‌فوتون که هدفش مقاومت بیشتر در برابر نویز پس‌زمینه است. مثال آن را ببینید.,4,243,حسگرها و ابزارها,https://qpedia.ir/quantum-lidar/,DefinedTerm
114,نور کند,نور کند چیست؟ تعریف روان، مثال روزمره و کاربردهای واقعی,نور کند چیست؟ کاهش سرعت گروهی پالس نور در محیطی با پاشندگی شدید، بدون هیچ تغییر در سرعت نور در خلأ. کاربرد آن را بخوانید.,4,241,نور کوانتومی,https://qpedia.ir/slow-light/,DefinedTerm
115,لیتوگرافی کوانتومی,لیتوگرافی کوانتومی چیست؟ تعریف ساده، مثال و کاربردهای مهم,لیتوگرافی کوانتومی چیست؟ روش‌های نوری که با حالت‌های کوانتومی نور به الگوهای ریزتر از حد کلاسیک می‌رسند. مثال آن را ببینید.,4,234,نور کوانتومی,https://qpedia.ir/quantum-lithography/,DefinedTerm
116,انگشت‌نگاری کوانتومی,انگشت‌نگاری کوانتومی چیست؟ تعریف ساده، مثال و کاربرد,انگشت‌نگاری کوانتومی چیست؟ پروتکلی برای مقایسهٔ دو داده با پیامی بسیار کوتاه‌تر از اندازهٔ خود داده. کاربرد آن را بخوانید.,4,233,ارتباطات کوانتومی,https://qpedia.ir/quantum-fingerprinting/,DefinedTerm
117,یخچال رقیق‌سازی,یخچال رقیق‌سازی چیست؟ تعریف ساده، مثال و کاربردهای مهم,یخچال رقیق‌سازی چیست؟ دستگاهی که با اختلاط هلیوم-۳ و هلیوم-۴ دمای چند میلی‌کلوین تولید می‌کند. مثال روزمره و مرز تمثیل را ببینید.,4,244,رایانش کوانتومی,https://qpedia.ir/dilution-refrigerator/,DefinedTerm
118,اکسیون,اکسیون چیست؟ معنی ساده، مثال روزمره و کاربرد در کوانتوم,اکسیون چیست؟ ذرهٔ فرضی سبک و بسیار کم‌برهم‌کنش که نامزد مادهٔ تاریک و راه‌حل مسئلهٔ CP قوی است. مثال روزمره و مرز تمثیل را ببینید.,4,243,ذرات و نیروها,https://qpedia.ir/axion/,DefinedTerm
119,ویمپ,ویمپ چیست؟ معنی ساده، مثال روزمره و کاربرد در کوانتوم,ویمپ چیست؟ نامزد ذرهٔ مادهٔ تاریک با جرم بالا و برهم‌کنش ضعیف که تا امروز آشکار نشده است. مثال روزمره و مرز تمثیل را ببینید.,4,243,ذرات و نیروها,https://qpedia.ir/wimp/,DefinedTerm
120,انرژی تاریک و جهان کوانتومی,انرژی تاریک و جهان کوانتومی چیست؟ تعریف ساده و کاربرد,انرژی تاریک و جهان کوانتومی چیست؟ بررسی اینکه چرا انرژی خلأ پیش‌بینی‌شده با انبساط شتاب‌دار مشاهده‌شدهٔ جهان سازگار نیست.,4,263,کیهان کوانتومی,https://qpedia.ir/dark-energy-quantum/,DefinedTerm
121,تابش زمینه کیهانی,تابش زمینه کیهانی چیست؟ تعریف ساده، مثال و کاربردهای مهم,تابش زمینه کیهانی چیست؟ تابش مایکروویوی کهنه‌ای که از جهان آغازین مانده و دمایی نزدیک ۲٫۷ کلوین دارد. مثال آن را ببینید.,4,246,کیهان کوانتومی,https://qpedia.ir/cosmic-microwave-background/,DefinedTerm
122,کرم‌چاله,کرم‌چاله چیست؟ تعریف روان، مثال روزمره و کاربردهای واقعی,کرم‌چاله چیست؟ راه‌حل ریاضی نسبیت عام که دو ناحیهٔ دور فضازمان را به هم می‌دوزد و شاهد رصدی ندارد. کاربرد آن را بخوانید.,4,241,کیهان کوانتومی,https://qpedia.ir/wormhole/,DefinedTerm
123,کیهان‌شناسی کوانتومی,کیهان‌شناسی کوانتومی چیست؟ تعریف ساده، مثال و کاربرد,کیهان‌شناسی کوانتومی چیست؟ کاربرد نظریهٔ کوانتومی برای توصیف دوران آغازین کل جهان. مثال و کاربرد ساده را در واژه‌نامهٔ Qpedia بخوانید.,4,237,کیهان کوانتومی,https://qpedia.ir/quantum-cosmology/,DefinedTerm
124,جهش کوانتومی کیهان,جهش کوانتومی کیهان چیست؟ تعریف ساده، مثال و کاربردهای مهم,جهش کوانتومی کیهان چیست؟ مدلی که می‌گوید انقباض پیشین جهان به انبساطی تازه برگشته است. مثال روزمره و مرز تمثیل را ببینید.,4,250,کیهان کوانتومی,https://qpedia.ir/quantum-bounce/,DefinedTerm
125,موسیقی کوانتومی,موسیقی کوانتومی چیست؟ تعریف ساده، مثال و کاربردهای مهم,موسیقی کوانتومی چیست؟ تبدیل داده‌های آزمایش کوانتومی به صدا و ساختار موسیقایی، بدون ادعای انتقال مفاهیم فیزیکی. مثال آن را ببینید.,4,251,تاریخ و جامعه,https://qpedia.ir/quantum-music/,DefinedTerm
126,داستان علمی‌تخیلی کوانتومی,داستان علمی‌تخیلی کوانتومی چیست؟ تعریف ساده و کاربرد,داستان علمی‌تخیلی کوانتومی چیست؟ روایت داستانی که از مفهوم‌های کوانتومی الهام می‌گیرد و معمولاً از دقت علمی فاصله دارد. مثال آن را ببینید.,4,261,تاریخ و جامعه,https://qpedia.ir/quantum-fiction/,DefinedTerm
127,فرهنگ کوانتومی,فرهنگ کوانتومی چیست؟ تعریف ساده، مثال و کاربردهای مهم,فرهنگ کوانتومی چیست؟ راه‌رفتن واژه‌های کوانتومی در هنر، سینما و تبلیغات و دگرگونی معنای آن‌ها در این مسیر. مثال آن را ببینید.,4,251,تاریخ و جامعه,https://qpedia.ir/quantum-culture/,DefinedTerm
128,زمستان کوانتومی,زمستان کوانتومی چیست؟ تعریف ساده، مثال و کاربردهای مهم,زمستان کوانتومی چیست؟ دوره‌ای که در آن سرمایه‌گذاری و اعتماد به فناوری کوانتومی عقب‌نشینی می‌کند. مثال روزمره و مرز تمثیل را ببینید.,4,248,رایانش کوانتومی,https://qpedia.ir/quantum-winter/,DefinedTerm
129,تکینگی کوانتومی,تکینگی کوانتومی چیست؟ تعریف ساده، مثال و کاربردهای مهم,تکینگی کوانتومی چیست؟ نقطه‌ای که معادلات نظریه در آن بی‌پاسخ می‌مانند، یا در کاربرد عامیانه نقطه‌ای فرضی برای جهش فناوری.,4,248,کیهان کوانتومی,https://qpedia.ir/quantum-singularity/,DefinedTerm
130,کوانتوم و سرطان,کوانتوم و سرطان چیست؟ تعریف ساده، مثال و کاربردهای مهم,کوانتوم و سرطان چیست؟ کاربرد واقعی فیزیک کوانتومی در تصویربرداری و درمان سرطان، در برابر ادعاهای درمانی بی‌پشتوانه. مثال آن را ببینید.,4,249,زیست و پزشکی,https://qpedia.ir/quantum-cancer/,DefinedTerm
131,کوانتوم در باکتری‌ها,کوانتوم در باکتری‌ها چیست؟ تعریف ساده، مثال و کاربرد,کوانتوم در باکتری‌ها چیست؟ پژوهش دربارهٔ نقش فرایندهای کوانتومی مانند تونل‌زنی و همدوسی در کارکرد باکتری‌ها. مثال آن را ببینید.,4,247,زیست و پزشکی,https://qpedia.ir/quantum-bacteria/,DefinedTerm
132,کوانتوم در ویروس‌ها,کوانتوم در ویروس‌ها چیست؟ تعریف ساده، مثال و کاربردهای مهم,کوانتوم در ویروس‌ها چیست؟ توضیح مولکولی ساختار و جهش ویروس، در برابر برچسب‌های کوانتومی گمراه‌کننده. کاربرد آن را بخوانید.,4,241,زیست و پزشکی,https://qpedia.ir/quantum-viruses/,DefinedTerm
133,تابش شتاب و اثر اونرو,تابش شتاب و اثر اونرو چیست؟ تعریف ساده، مثال و کاربرد,تابش شتاب و اثر اونرو چیست؟ پیش‌بینی اینکه ناظر شتاب‌دار خلأ را گرم می‌بیند و ذره‌هایی می‌بیند که ناظر لَخت نمی‌بیند. مثال آن را ببینید.,4,266,کیهان کوانتومی,https://qpedia.ir/acceleration-radiation/,DefinedTerm
134,میکروسکوپ کوانتومی,میکروسکوپ کوانتومی چیست؟ تعریف ساده، مثال و کاربردهای مهم,میکروسکوپ کوانتومی چیست؟ تصویربرداری با نور فشرده یا فوتون‌های درهم‌تنیده برای دیدن نمونه با نور کمتر. مثال آن را ببینید.,4,233,نور کوانتومی,https://qpedia.ir/quantum-microscopy/,DefinedTerm
135,رایانش کوانتومی ابری,رایانش کوانتومی ابری چیست؟ تعریف ساده، مثال و کاربرد,رایانش کوانتومی ابری چیست؟ دسترسی از راه دور به پردازندهٔ کوانتومی واقعی، همراه با صف، هزینه و نویز. کاربرد آن را بخوانید.,4,261,رایانش کوانتومی,https://qpedia.ir/quantum-cloud/,DefinedTerm
136,الگوریتم گروور,الگوریتم گروور چیست؟ تعریف ساده، مثال و کاربردهای مهم,الگوریتم گروور چیست؟ الگوریتم کوانتومی برای جست‌وجوی نامنظم با سرعت ریشهٔ دوم نسبت به روش کلاسیک. مثال روزمره و مرز تمثیل را ببینید.,4,242,رایانش کوانتومی,https://qpedia.ir/grover-algorithm/,DefinedTerm
137,قضیه عدم‌کپی کوانتومی,قضیه عدم‌کپی کوانتومی چیست؟ تعریف ساده، مثال و کاربرد,قضیه عدم‌کپی کوانتومی چیست؟ قاعده‌ای که می‌گوید حالت کوانتومی ناشناخته را نمی‌توان دقیقاً کپی کرد. کاربرد آن را بخوانید.,4,254,مفاهیم پایه,https://qpedia.ir/no-cloning-theorem/,DefinedTerm
138,شبیه‌سازی کوانتومی,شبیه‌سازی کوانتومی چیست؟ تعریف ساده، مثال و کاربردهای مهم,شبیه‌سازی کوانتومی چیست؟ استفاده از سامانهٔ کوانتومی کنترل‌شده برای مدل‌سازی سامانه‌ای که محاسبهٔ کلاسیک آن دشوار است. مثال آن را ببینید.,4,244,رایانش کوانتومی,https://qpedia.ir/quantum-simulation/,DefinedTerm
139,بازتاب کلی درونی,بازتاب کلی درونی چیست؟ تعریف ساده، مثال و کاربردهای مهم,بازتاب کلی درونی چیست؟ ماندن نور در محیط غلیظ‌تر هنگام برخورد با زاویه بزرگ‌تر از زاویه حد است. مثال روزمره و مرز تمثیل را ببینید.,4,247,حسگرها و ابزارها,https://qpedia.ir/fiber-optics/,DefinedTerm
140,فتوسنتز کوانتومی,فتوسنتز کوانتومی چیست؟ تعریف ساده، مثال و کاربردهای مهم,فتوسنتز کوانتومی چیست؟ بررسی نقش همدوسی و انتقال انرژی کوانتومی در نخستین گام‌های فتوسنتز. مثال روزمره و مرز تمثیل را ببینید.,4,238,زیست و پزشکی,https://qpedia.ir/quantum-bacteria/,DefinedTerm
141,پالس آتوثانیه,پالس آتوثانیه چیست؟ تعریف ساده، مثال و کاربردهای مهم,پالس آتوثانیه چیست؟ پالسی با کشش زمانی چند ده آتوثانیه که حرکت الکترون در اتم را قابل‌اندازه‌گیری می‌کند. مثال آن را ببینید.,4,257,تاریخ و جامعه,https://qpedia.ir/attosecond-nobel-2023/,DefinedTerm
142,پروتکل BB84,پروتکل BB84 چیست؟ تعریف روان، مثال روزمره و کاربردهای واقعی,پروتکل BB84 چیست؟ نخستین پروتکل عملی توزیع کلید کوانتومی که امنیت آن بر پایهٔ حالت‌های کوانتومی است. کاربرد آن را بخوانید.,4,231,ارتباطات کوانتومی,https://qpedia.ir/quantum-cryptography-internet-security/,DefinedTerm
143,چاه کوانتومی,چاه کوانتومی چیست؟ تعریف ساده، مثال و کاربردهای مهم,چاه کوانتومی چیست؟ ساختار نازکی که حرکت الکترون را در یک راستا محدود و ترازهای گسسته ایجاد می‌کند. کاربرد آن را بخوانید.,4,241,حسگرها و ابزارها,https://qpedia.ir/quantum-dots-displays/,DefinedTerm
144,ثابت کیهان‌شناسی,ثابت کیهان‌شناسی چیست؟ تعریف ساده، مثال و کاربردهای مهم,ثابت کیهان‌شناسی چیست؟ جمله‌ای در معادلات نسبیت عام که شتاب‌گرفتن انبساط جهان را توصیف می‌کند. مثال روزمره و مرز تمثیل را ببینید.,4,242,کیهان کوانتومی,https://qpedia.ir/dark-energy-quantum/,DefinedTerm
145,آزمایش فکری,آزمایش فکری چیست؟ تعریف روان، مثال روزمره و کاربردهای واقعی,آزمایش فکری چیست؟ سازه‌ای خیالی برای آزمودن منطقی یک نظریه، نه گزارشی از یک رویداد واقعی. مثال روزمره و مرز تمثیل را ببینید.,4,233,فلسفه کوانتوم,https://qpedia.ir/schrodinger-cat/,DefinedTerm
146,مرز پلانک,مرز پلانک چیست؟ تعریف روان، مثال روزمره و کاربردهای واقعی,مرز پلانک چیست؟ مقیاسی که در آن آثار گرانش کوانتومی دیگر قابل چشم‌پوشی نیستند. مثال و کاربرد ساده را در واژه‌نامهٔ Qpedia بخوانید.,4,241,کیهان کوانتومی,https://qpedia.ir/quantum-gravity/,DefinedTerm
147,حس مغناطیسی,حس مغناطیسی چیست؟ تعریف روان، مثال روزمره و کاربردهای واقعی,حس مغناطیسی چیست؟ توانایی بعضی جانداران در استفاده از میدان مغناطیسی زمین برای مسیریابی. مثال روزمره و مرز تمثیل را ببینید.,4,234,حسگرها و ابزارها,https://qpedia.ir/quantum-navigation/,DefinedTerm
148,اثر هال کوانتومی,اثر هال کوانتومی چیست؟ تعریف ساده، مثال و کاربردهای مهم,اثر هال کوانتومی چیست؟ کوانتش هدایت‌پذیری جانبی در لایه‌های نازک زیر میدان مغناطیسی قوی. مثال روزمره و مرز تمثیل را ببینید.,4,237,مواد کوانتومی,https://qpedia.ir/topological-insulator/,DefinedTerm
149,گرافن,گرافن چیست؟ معنی ساده، مثال روزمره و کاربرد در کوانتوم,گرافن چیست؟ لایه‌ای تک‌اتمی از کربن با رفتار الکترونی غیرعادی و تحرک‌پذیری بالا. مثال و کاربرد ساده را در واژه‌نامهٔ Qpedia بخوانید.,4,229,حسگرها و ابزارها,https://qpedia.ir/transistor-quantum/,DefinedTerm
150,فضای هیلبرت,فضای هیلبرت چیست؟ تعریف روان، مثال روزمره و کاربردهای واقعی,فضای هیلبرت چیست؟ فضای ریاضی حالت‌های کوانتومی است که بردار حالت و ضرب داخلی در آن تعریف می‌شوند. مثال روزمره و مرز تمثیل را ببینید.,4,253,تاریخ و جامعه,https://qpedia.ir/why-quantum-math-works/,DefinedTerm
151,عملگر کوانتومی,عملگر کوانتومی چیست؟ تعریف ساده، مثال و کاربردهای مهم,عملگر کوانتومی چیست؟ ساختاری ریاضی است که یک مشاهده‌پذیر یا تحول را روی حالت کوانتومی نمایش می‌دهد. کاربرد آن را بخوانید.,4,255,تاریخ و جامعه,https://qpedia.ir/why-quantum-math-works/,DefinedTerm
152,مقدار ویژه,مقدار ویژه چیست؟ تعریف روان، مثال روزمره و کاربردهای واقعی,مقدار ویژه چیست؟ نتیجه ویژه‌ای است که اندازه‌گیری یک عملگر می‌تواند برای حالت ویژه همان عملگر بدهد. کاربرد آن را بخوانید.,4,251,مفاهیم پایه,https://qpedia.ir/energy-levels/,DefinedTerm
